"label","Geburtsort","birth place"
"Deidre Brock","http://dbpedia.org/resource/Western_Australia","http://dbpedia.org/resource/Western_Australia"
"Dejan Denkovski","http://dbpedia.org/resource/Kumanovo","http://dbpedia.org/resource/Kumanovo"
"Delanie Wiedrich","http://dbpedia.org/resource/Walnut_Creek,_California","http://dbpedia.org/resource/Walnut_Creek,_California"
"Della Warrior","http://dbpedia.org/resource/Pawnee,_Oklahoma","http://dbpedia.org/resource/Pawnee,_Oklahoma"
"Denice D. Lewis","http://dbpedia.org/resource/Lynchburg,_Virginia","Lynchburg, Virginia, USA"
"Denise Deegan (Irish author)","http://dbpedia.org/resource/Cork_(city)","Cork, Ireland"
"Dennis Lee Foster","http://dbpedia.org/resource/Sioux_City,_Iowa","Sioux City, USA"
"Dennis Smith (politician)","",""
"Denny Miller (Home and Away)","",""
"Denzil Smith","http://dbpedia.org/resource/Mumbai","http://dbpedia.org/resource/Mumbai"
"Devadas Kapikad","http://dbpedia.org/resource/Mangalore","Kapikad, Mangalore"
"Devashish Makhija","http://dbpedia.org/resource/India","http://dbpedia.org/resource/India"
"Devon J. Moore","",""
"Devonte Riley","http://dbpedia.org/resource/Florida",""
"Dhanunjaya Rao","http://dbpedia.org/resource/Andhra_Pradesh","Srikakulam, Andhra Pradesh, India"
"Dian Nissen","http://dbpedia.org/resource/Cedar_Rapids,_Iowa","Cedar Rapids, Iowa, U.S."
"Dick Boschman","http://dbpedia.org/resource/Elburg","Elburg, Netherlands"
"Diego Matías Rodríguez","http://dbpedia.org/resource/Buenos_Aires","http://dbpedia.org/resource/Buenos_Aires"
"Dinesh Subba","","Darjeeling, India"
"Dinkar Joshi","http://dbpedia.org/resource/Bhavnagar_district","Bhadi Bhandaria village, Bhavnagar district, Gujarat"
