"label","founded","Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID"
"Eleven (Television Production Company)","2006","http://elevenfilm.com","682567546","47774690"
"Elite 9 Hockey League","","","","47876102"
"Elizabeth River Crossings","","http://driveert.com","670773398","46266466"
"Ellinair","","http://ellinair.com","682683972","45653037"
"Elliniko-Sourmena B.C.","","","678521438","46270476"
"Elmer Candy Corporation","","http://www.elmerchocolate.com","681466785","46270612"
"EmazingLights","","http://www.emazinglights.com/","679149359","45703157"
"Embers in Ashes","","","668723636","46812009"
"Emepa Group","","http://www.grupoemepa.com.ar","679013966","46244143"
"Emergenetics International","1991","https://www.emergenetics.com","662958727","46739377"
"Emergent Payments","","http://www.emergentpayments.net/","682771547","46941068"
"مؤسسة الإمارات للطاقة النووية","","http://www.enec.gov.ae","673958241","46216345"
"Emirates Transport","","https://www.et.gov.ae/","672596418","46704236"
"EnWave Corporation","","http://www.EnWave.net","667948792","46728453"
"Endstufe (Band)","","","",""
"Engineering Institute of Technology","","","682511361","47916160"
"Ensamble Speculum Amoris","","","657174281","46445322"
"Ensemble, et al.","","","668640096","46621258"
"Enterr 10","","","",""
"Entertainment One Music","","http://www.eonemusic.com","682666490","47863330"
