"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Seoul","具聖潤","http://dbpedia.org/resource/Seoul"
"http://dbpedia.org/resource/Geneva","Guillaume Barazzone","http://dbpedia.org/resource/Geneva"
"Paldhi, Jalgaon","Gulab Raghunath Patil",""
"","Gunz for Hire",""
"","Guy Mamou-Mani",""
"Teresina, Piauí, Brazil","Gyselle Soares","http://dbpedia.org/resource/Piauí"
"http://dbpedia.org/resource/France","Gérard DuBois","http://dbpedia.org/resource/France"
"Karlsruhe, Germany","Götz Schulze","http://dbpedia.org/resource/Karlsruhe"
"","HONNE",""
"http://dbpedia.org/resource/California","HT Tran","http://dbpedia.org/resource/California"
"http://dbpedia.org/resource/Sivas","Habip Soluk","http://dbpedia.org/resource/Sivas"
"Reggio Emilia, Italy","هاشم مستور","http://dbpedia.org/resource/Reggio_Emilia"
"http://dbpedia.org/resource/Tehran","Hadi Partovi","http://dbpedia.org/resource/Tehran"
"http://dbpedia.org/resource/Gabon","Hadiza Aliyu","http://dbpedia.org/resource/Gabon"
"","Haely Jardas",""
"","Hajar Ahmed Hajar",""
"http://dbpedia.org/resource/Afyonkarahisar","Halil Ürün","http://dbpedia.org/resource/Afyonkarahisar"
"http://dbpedia.org/resource/Mashhad","Hamed Shakernejad","http://dbpedia.org/resource/Mashhad"
"http://dbpedia.org/resource/Ilam,_Nepal","Hangyug Agyat","http://dbpedia.org/resource/Ilam,_Nepal"
"http://dbpedia.org/resource/Lahti","Hanna Mäntylä","http://dbpedia.org/resource/Lahti"
