"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"679541353","http://cricketarchive.com/Archive/Grounds/14/1065.html","Garrison Ground","47725804"
"679460703","http://www.kaleidahealth.org/gvi/","Gates Vascular Institute","47682979"
"662597302","http://tatahousing.in/","Gateway Towers Mumbai","46408322"
"","","Georgetown University Library",""
"670775580","","Deutsches Phonomuseum","46774703"
"683750229","","Gibo Station","47859863"
"","","Ginza Kojyu",""
"683716276","http://www.iceskatingtasmania.com.au/","Glenorchy Ice Skating Rink","47988743"
"662747520","http://www.gctc.com.au/","Gold Coast Turf Club","46350162"
"673761618","https://data.qld.gov.au/dataset/the-queensland-heritage-register","Gooloowan","46777295"
"680499223","http://www.gmcnzbd.org/","Government General Hospital, Nizamabad","45667935"
"","","Grace on Coronation",""
"683439735","","Гранд Макет Россия","46921420"
"671222992","http://www.grandchestersawmill.com.au/","Grandchester Sawmills","46405105"
"672213174","http://www.nationaltrust.org.au/qld/GrandchesterRailwayStation","Grandchester railway station","46404903"
"","","Grasim Industries Ground",""
"664473604","","Great North Children's Hospital","46630161"
"682756299","http://www.greatparks.org","Great Parks of Hamilton County","46526721"
"667548621","http://www.michipicoten.com/","Gros Cap 49, Ontario","46819752"
"663001298","http://www.china-gdftz.gov.cn/","中国（广东）自由贸易试验区","46742316"
