"label","Geburtsdatum","Geburtsort","birth place"
"Antara Nandy","1999-12-11","http://dbpedia.org/resource/Assam","Sivasagar, Assam, India"
"Anthony Kilhoffer","","",""
"Anthony R.J. Moran","1996-09-09","http://dbpedia.org/resource/Middletown,_Connecticut","http://dbpedia.org/resource/Middletown,_Connecticut"
"Tony Hunter","","",""
"Antoine Westermann","1946-04-04","http://dbpedia.org/resource/France","http://dbpedia.org/resource/France"
"Antonio Raillo","1991-10-08","http://dbpedia.org/resource/Córdoba,_Andalusia","Córdoba, Spain"
"Antti Asplund","","http://dbpedia.org/resource/Oulu",""
"Anu Elizabeth Jose","","http://dbpedia.org/resource/Alappuzha","http://dbpedia.org/resource/Alappuzha"
"森川葵","1995-06-17","http://dbpedia.org/resource/Aichi_Prefecture","http://dbpedia.org/resource/Aichi_Prefecture"
"中別府葵","","http://dbpedia.org/resource/Kumamoto_Prefecture","http://dbpedia.org/resource/Kumamoto_Prefecture"
"Arielle (singer)","1990-08-03","http://dbpedia.org/resource/Short_Hills,_New_Jersey","Short Hills, New Jersey, U.S."
"Arif Peçenek","","",""
"Arnaldo Ferrari Nasi","1965-07-09","http://dbpedia.org/resource/Chiavari","Chiavari, Genoa, Italy"
"Art Hirahara","","",""
"Arturo Montero","1961","http://dbpedia.org/resource/Mexico_City","http://dbpedia.org/resource/Mexico_City"
"Arun Dubey","","http://dbpedia.org/resource/Jaunpur","http://dbpedia.org/resource/Jaunpur"
"Aryn Michelle","","http://dbpedia.org/resource/Fort_Worth,_Texas","http://dbpedia.org/resource/Fort_Worth,_Texas"
"Asako Ito","1970-06-10","http://dbpedia.org/resource/Shibuya","Shibuya, Tokyo, Japan"
"Asana Mamoru","1990-05-04","http://dbpedia.org/resource/Tokyo","Tokyo, Japan"
"Ash Riser","","http://dbpedia.org/resource/United_States",""
