"footnotes","label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"http://gunabati.wordpress.com","Gunabati Union","683936790","http://goonabatiup.comilla.gov.bd","47736885"
"","Guryongpo","667723249","http://guryongpo.ipohang.org/","47027160"
"","Gympie Lands Office","681674302","http://aicm.org.au","47859149"
"","Hala Sportowa Częstochowa","682332418","","46828089"
"","Halifax Tool Library","","",""
"","Planetarium Hamburg","","",""
"","Harnaut railway station","682169535","http://nalanda.bih.nic.in/","46209341"
"","Hawaii Children's Discovery Center","673430312","http://www.discoverycenterhawaii.org","46759901"
"","Hayang","670782960","http://gbgs.go.kr/dong15/","47021528"
"","Heard Natural Science Museum and Wildlife Sanctuary","","",""
"","Herz- und Diabeteszentrum Nordrhein-Westfalen","","","45651973"
"","Heiney's Meat Market","653444413","http://www.tkvw.com/heineys/index.html","46204890"
"","Hendon Reform Synagogue","","","47784354"
"","Henvey Inlet 2, Ontario","671924131","http://www.hifn.ca/","46820139"
"","Heritage Farm Museum and Village","","","47366472"
"","Heunghae","670783080","http://heunghae.ipohang.org/","47029108"
"","Hialeah Hospital","660568571","https://www.hialeahhosp.com/","46587545"
"","Hindustan Zinc Limited Ground","","",""
"","Hingoli Deccan railway station","677905508","http://www.indianrail.gov.in/","47371795"
"","Hoctún (municipio)","675409370","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","46927807"
