"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"L&T Realty","45601708","676081831","http://www.lntrealty.com"
"Experimento LZ","45414564","660520357","http://lz.lbl.gov/"
"Aeropuerto La Araucanía","47499236","675707909","http://www.aeropuertoaraucania.cl/"
"Lampeter Museum","45417642","652070301","http://hanesllambed.org.uk"
"Lavriv, Staryi Sambir Raion","45517861","648991110","http://1ua.com.ua/c146676"
"Lawrence Hospital","","",""
"Lda City","45356716","680644050","http://www.lda.city"
"Leonard's Bakery","","",""
"兩依藏","45310538","658121455","http://www.liangyimuseum.com"
"Lightning Rod (roller coaster)","47456165","676415792","http://www.dollywood.com/themepark/rides/LightningRod"
"Live Music Hall","45402041","683485534","http://www.livemusichall.de/"
"Flugplatz Lucca","47579883","682968752","http://www.aeroportodicapannori.it"
"Madurankuliya Wind Farm","45452656","669389992","http://www.windforce.lk/power-projects/daily-life-energy.html"
"Malacca Wonderland","45408403","674713257","http://www.melakawonderland.com.my/"
"Mant Tehsil","47175706","681368165","http://tehsildivas.up.nic.in/tehdiv/default.aspx"
"Maní (municipio)","47414723","680223376","http://www.yucatan.gob.mx/estado/municipios/31101a.htm"
"Marker Museum","","",""
"Massey Aerodrome","45584269","",""
"Massey Air Museum","45584439","676148253",""
"Mayapán (municipio)","47420974","675700067","http://www.yucatan.gob.mx/estado/municipios/31101a.htm"
