"Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","label"
"http://keck.usc.edu/en/Education/Academic_Department_and_Divisions/Department_of_Emergency_Medicine/Research_Division/Bir.aspx","654782459","46274918","Cynthia Bir"
"","","","Cyrus Mahboubian"
"","","","Cédric Blaisbois"
"","","","Cícero Moraes"
"","","","D-Wayne"
"","","","D4nny"
"","","","DJ Cuppy"
"","","","DJ Diass"
"","","","DJ Dopefish"
"","","","DJ Many (musician)"
"","","","DJ Ritendra"
"","","","DJ Seip"
"","","","DSharp"
"","","","DVS1"
"","","","佐々木大樹 (レーサー)"
"","","","Daina Skadmane"
"","","46310918","Daisuke Nakazawa"
"http://www.hotellaflorida.com/en/luxury-suites/barcelona-hotel-room-jacuzzi-japanese","682946255","46418776","Dale and Patricia Keller"
"","","","Dalita Avanesian"
"","","","Damià Sabater"
