"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://us.macmillan.com/thesecretsofmidwives/sallyhepworth","The Secrets of Midwives","674129325","47282584"
"","The Singular Universe and the Reality of Time","",""
"","The Slovenia Times","",""
"http://www.patrickrothfuss.com/","The Slow Regard of Silent Things","672205011","47100683"
"http://www.giramondopublishing.com/fiction/the-swan-book/","The Swan Book","681135618","47134731"
"http://marvel.com/comics/series/19750/the_unbeatable_squirrel_girl_2015_-_present","The Unbeatable Squirrel Girl","675901437","45294849"
"","The Understory","",""
"","The Urban Lawyer","",""
"","The World Unseen (book)","","47633503"
"","The channel magazine","",""
"","町医者ジャンボ!!","",""
"","Travail, Genre et Sociétés","",""
"","Truly Tasteless Jokes","677344519","47576587"
"","طوارق (رواية)","668604114","45321261"
"","UCLA Journal of Environmental Law and Policy","",""
"","University Press Club","","45581649"
"","Virginia Journal of Social Policy & the Law","",""
"","Visayan Business Post","","47167337"
"","Vorarlberger Nachrichten","","45300142"
"","Warheart","",""
