"Geburtsdatum","birth place","Geburtsort","label"
"1983-10-27","Teresina, Piauí, Brazil","http://dbpedia.org/resource/Piauí","Gyselle Soares"
"","http://dbpedia.org/resource/France","http://dbpedia.org/resource/France","Gérard DuBois"
"1965-10-08","Karlsruhe, Germany","http://dbpedia.org/resource/Karlsruhe","Götz Schulze"
"","http://dbpedia.org/resource/California","http://dbpedia.org/resource/California","HT Tran"
"","http://dbpedia.org/resource/Sivas","http://dbpedia.org/resource/Sivas","Habip Soluk"
"","Reggio Emilia, Italy","http://dbpedia.org/resource/Reggio_Emilia","هاشم مستور"
"","http://dbpedia.org/resource/Tehran","http://dbpedia.org/resource/Tehran","Hadi Partovi"
"1989-06-01","http://dbpedia.org/resource/Gabon","http://dbpedia.org/resource/Gabon","Hadiza Aliyu"
"1991-02-14","","","Haely Jardas"
"","","","Hajar Ahmed Hajar"
"","http://dbpedia.org/resource/Afyonkarahisar","http://dbpedia.org/resource/Afyonkarahisar","Halil Ürün"
"1983-05-01","http://dbpedia.org/resource/Mashhad","http://dbpedia.org/resource/Mashhad","Hamed Shakernejad"
"1978-12-16","http://dbpedia.org/resource/Ilam,_Nepal","http://dbpedia.org/resource/Ilam,_Nepal","Hangyug Agyat"
"1974-09-19","http://dbpedia.org/resource/Lahti","http://dbpedia.org/resource/Lahti","Hanna Mäntylä"
"1984","","","Hannah Kendall"
"","http://dbpedia.org/resource/Great_Falls,_Montana","http://dbpedia.org/resource/Great_Falls,_Montana","Hannah Rose"
"","","","Hannah Vaughan Jones"
"","","","Hannah Wagner"
"","","","Hannah Wilson (Home and Away)"
"","Byremo, Audnedal, Norway","http://dbpedia.org/resource/Audnedal","Hanne Leland"
