"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"46308896","http://1000museum.com/","672405659","One Thousand Museum"
"47681779","http://odinus.iaps.inaf.it/","679836701","Origins, Dynamics, and Interiors of the Neptunian and Uranian Systems"
"46310286","http://ormistonhouse.org.au/","671223818","Ormiston House Estate"
"47717666","http://www.espncricinfo.com/india/content/ground/58264.html","679390428","Osmania College Ground"
"46244304","http://www.ourladyandstbrigid.info","653784971","Our Lady and St Brigid's Church, Northfield"
"","","","Our Lady of Lourdes Church, Kanajar"
"47384709","","682630376","Padamugham"
"47893117","http://www.newbasketbrindisi.it/nbb/portale/societa/94/campo-di-gioco","683362527","PalaPentassuglia"
"47877473","http://www.trentinovolley.it/lang/EN/pagine/dettaglio/palatrento,11/the_arena,8.html","682225020","PalaTrento"
"46183190","http://www.pallatirinise.com","674647550","Palace of Youth and Sports"
"46177289","http://www.palais12.com/","682218372","Palais 12"
"46430781","","668122610","Paoli Hospital"
"47913782","https://papaya.com.hr","682601682","Papaya (club)"
"","","","Paragon Hospital"
"46959729","http://www.lyon.fr/lieu/patrimoine/parc-de-la-cerisaie.html","677724272","Parc de la Cerisaie"
"46415034","http://www.mitsui-chintai.co.jp/resident/original/pco_akasaka/","671667361","Park Court Akasaka The Tower"
"47940032","http://www.parktowerattransbay.com/","683032287","Park Tower at Transbay"
"","","","Park im Grüene"
"45680817","http://www.youtube.com/watch?v=vhpNHom7MTY","670742709","Parque fluvial Padre Renato Poblete"
"46890692","http://www.pazopacopaz.es/","668145098","Pazo dos Deportes Paco Paz"
