"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Manche","Baptiste Lecaplain","http://dbpedia.org/resource/Manche"
"","Barbara Clare Foley",""
"","Barbara Earl Thomas","http://dbpedia.org/resource/Seattle"
"http://dbpedia.org/resource/Split-Dalmatia_County","Barbara Ljiljak","http://dbpedia.org/resource/Split-Dalmatia_County"
"http://dbpedia.org/resource/Rennes","Barbara Magnolfi","http://dbpedia.org/resource/Rennes"
"","Barbara Stauffacher Solomon",""
"http://dbpedia.org/resource/Augusta,_Sicily","Barbara Tabita","http://dbpedia.org/resource/Augusta,_Sicily"
"http://dbpedia.org/resource/Alberta","Barrett Martineau","http://dbpedia.org/resource/Alberta"
"http://dbpedia.org/resource/Ohio","Barry Lancet","http://dbpedia.org/resource/Ohio"
"","Basim Elkarra",""
"","Bayyinah Bello",""
"","Beau Vallis (singer)","http://dbpedia.org/resource/United_States"
"","Becca Bradley",""
"","Behzad Leito","http://dbpedia.org/resource/Tehran"
"","Bellamy Hunt",""
"","Ben Caplan (Musicien)",""
"","Ben Howlett",""
"http://dbpedia.org/resource/Coquitlam","Ben McIntosh","http://dbpedia.org/resource/Coquitlam"
"Lagos, Lagos State, Nigeria","Ben Murray-Bruce","http://dbpedia.org/resource/Lagos"
"http://dbpedia.org/resource/Auckland","Ben Sanders (author)","http://dbpedia.org/resource/Auckland"
