"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"45371809","Hamburger Börs","http://www.hamburgerbors.se/","671409724"
"47533652","Hatthikuchchi Museum","http://www.archaeology.gov.lk","678319636"
"47281371","Hawks PDX","http://www.hawkspdx.club","672281196"
"47169860","Hell's Backbone Grill","",""
"45522831","Hellesvere","http://www.etonhostels.com.au/","671223044"
"","Herzliya Museum of Contemporary Art","",""
"47512582","Historic Cities of the Straits of Malacca","http://www.heritage.gov.my/index.php/en/unesco-world-heritage/world-recognition-list/","676001189"
"47128020","Hocabá (municipio)","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","678723491"
"47611051","Hollandsche Schouwburg","http://www.hollandscheschouwburg.nl/en","683615155"
"47617670","Hollywood Horror Museum","",""
"","Hollywood Sci-Fi Museum","",""
"47415874","Museu do Holocausto de Curitiba","","678096046"
"","Hopkins County Courthouse","",""
"45354229","Horishnia Vyhnanka","http://1ua.com.ua/c149248","673778751"
"47630126","House of Crafts (Hancavičy)","",""
"45410999","Houston Orthopedic and Spine Hospital","http://www.surgicalhospital.com","679110902"
"47195302","フワヒン駅","","682698508"
"45624816","Hugh M. Hefner Moving Image Archive","http://www.uschefnerarchive.com","683737746"
"47128216","Huhí (municipio)","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","678723599"
"45523567","Hôtel d'Europe","http://www.heurope.com/uk/","670251810"
