"Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","label"
"http://www.asppoolco.com/","681647146","46344220","America's Swimming Pool Company"
"http://www.adec.edu","682810514","46641829","American Distance Education Consortium"
"http://www.americanenergypartners.com","681675023","47721604","American Energy Partners, LP"
"","","","American International School of Lomé"
"http://alm-net.com","680886261","47796883","American Logic Machines"
"http://www.amhp.us","682808342","46703842","American Muslim Health Professionals"
"","672508789","45689487","American Premier Soccer League"
"http://www.americanreal.com","665212166","45690148","American Realty Advisors"
"","674324940","46730530","American Wrestlers"
"","683955143","47888192","Amity University, Gurgaon"
"","","","Amman Academy"
"","","46770165","Among the Thirsty"
"http://www.amplitude-studios.com/","673909501","46814260","Amplitude Studios"
"","668431214","46951314","Amu Power Company"
"http://www.ancientrivertheband.com","680628247","47299182","Ancient River"
"http://www.andersonMcQueen.com","671806189","46632755","Anderson-McQueen"
"","662600003","46361838","Andijan State University"
"","","","Andrew Marvell College"
"http://www.andrews-sykes.com","666456159","46568930","Andrews Sykes Group"
"","","","Andy The Kid"
