"label","Wikipage page ID"
"Bijoy TV","46311211"
"Billy & the Kids","46255397"
"Bilsam Aviation","46874177"
"Bindass Play",""
"Binh Phuoc F.C.","47029839"
"Biola University Eagles","47838813"
"Biomin","46745932"
"Bionure","46459320"
"Birch Run High School",""
"Bishkek Humanities University",""
"Bitreserve","46356436"
"Bitstake","46888085"
"Blaak Heat","46818836"
"Black Mamba Anti-Poaching Unit","47901151"
"Blackalicious",""
"Blackburn Central High School",""
"Blaze Pizza","47747777"
"Blended 328","47807102"
"Blink Digital","46211940"
"Blount, Inc.",""
