"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Ciudad Deportiva Antonio Asensio","656230119","http://www.rcdmallorca.es/principal_new.php?nombreModulo=contenido&idcontenido=37&idmenu=12&idsubmenu=40","46395184"
"Ciudad Deportiva Atlético de Madrid","661052552","http://www.clubatleticodemadrid.com/galerias/ciudad-deportiva-de-majadahonda?modo=vertical","46265141"
"Ciudad Deportiva Getafe CF","656247374","http://www.getafecf.com/Elclub/Instalaciones.aspx","46388047"
"Ciudad Deportiva José Ramón Cisneros Palacios","680832996","http://www.sevillafc.es/nuevaweb/ciudad_deportiva/ramon_cisneros_palacios","46379884"
"Ciudad Deportiva Luis del Sol","680833021","http://www.realbetisbalompie.es/es/club/ciudad-deportiva-luis-del-sol/","46379973"
"Ciudad Deportiva Rafael Gómez","656086623","http://www.fundacioncordobacf.com/instalaciones.php","46380745"
"Ciudad Deportiva de Buñol","656086645","http://es.levanteud.com/cdeportiva.html","46380618"
"Ciudad Deportiva del Real Zaragoza","656225794","http://www.realzaragoza.com/club/ciudad_deportiva","46394825"
"Ciudad del Fútbol Francisco Rubio Garcés","665209445","http://www.cdnumancia.com/ciudad-deportiva","46396234"
"Ciutat Esportiva Dani Jarque","673003304","http://www.rcdespanyol.com/es/ciudad-deportiva/","46379199"
"Clifford Hospital","682373287","","47773135"
"Cly castle","665351954","http://www.lovevda.it/en/database/8/castles-and-towers/saint-denis/cly-castle/1220","45653479"
"Coastal City (Shopping Mall)","676464722","http://www.coastalcity.cn/","47045157"
"Cobra's Curse","682918116","http://seaworldparks.com/en/buschgardens-tampa/attractions/rides/cobras-curse/","46823589"
"Collegiate church of St Paul, Rabat","","",""
"Colonial War Memorial Hospital","677165345","","46912689"
"Congregation B'nai Abraham","","",""
"Conkal (municipio)","675408332","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","46901386"
"Constance Lake 92, Ontario","667545767","http://www.clfn.on.ca/","46810580"
"Convent of São Francisco (Vila Franca do Campo)","683748694","http://conventosaofrancisco.net/","47991176"
