"http://dbpedia.org/resource/Alliance_Party_of_Northern_Ireland","alliance party of northern ireland (apni)","5"
"http://dbpedia.org/resource/Social_Democratic_and_Labour_Party","social democratic and labour party (sdlp)","3"
"http://dbpedia.org/resource/Ulster_Unionist_Party","ulster unionist party (uup)","4"
"http://dbpedia.org/resource/Green_Party_(Ireland)","green party (green)","6"
"http://dbpedia.org/resource/Make_Politicians_History","make politicians history (mph)","19"
"http://dbpedia.org/resource/UK_Independence_Party","united kingdom independence party (ukip)","15"
"http://dbpedia.org/resource/Sinn_Féin","sinn f&eacute;in (sf)","2"
"http://dbpedia.org/resource/Independent_Unionist","independent unionist (ind u)","10"
"http://dbpedia.org/resource/Progressive_Unionist_Party","progressive unionist party (pup)","11"
"http://dbpedia.org/resource/Scottish_Conservative_Party","conservative party (con)","12"
"http://dbpedia.org/resource/Socialist_Environmental_Alliance","socialist environmental alliance (sea)","14"
"http://dbpedia.org/resource/Workers'_Party_of_Ireland","workers' party (wp)","16"
"http://dbpedia.org/resource/Socialist_Party_(Ireland)","socialist party (sp)","18"
"http://dbpedia.org/resource/Independent_Republican_(Ireland)","independent republican (ind rep) [rsf]","13"
"http://dbpedia.org/resource/UK_Unionist_Party","united kingdom unionist party (ukup)","7"
"http://dbpedia.org/resource/People_Before_Profit_Alliance","people before profit (pbp)","17"
"http://dbpedia.org/resource/Democratic_Unionist_Party","democratic unionist party (dup)","1"
