"tameside general hospital&nbsp;","breast care unit&nbsp;","ashton-under-lyne"
"stoke mandeville hospital","ward 6x","aylesbury / bucks"
"horton general hospital&nbsp;","the breast unit","banbury"
"barnet general hospital&nbsp;","breast care unit&nbsp;","barnet"
"north devon district hospital","c/o pettre ward","barnstaple/devon"
"clatterbridge hospital","elm house breast unit","bebington"
"bedford hospital","south wing","bedford"
"bishop auckland general hospital","eskham road annex&nbsp;","bishop auckland"
"pilgrim hospital","breast care department&nbsp;","boston"
"wycombe general hospital","sunrise oncology centre","bucks"
"burnley general hospital","pennine house - level 3&nbsp;","burnley"
"west suffolk hospital nhs trust","macmillan info’ &amp; support centre","bury st edmunds"
"addenbrookes hospital&nbsp;","cambridge breast unit&nbsp;","cambridge"
"kent &amp; canterbury hospital","breast clinic offices","canterbury"
"cheltenham general hospital&nbsp;","breast care department&nbsp;","cheltenham"
"st richard's hospital","breast care unit","chichester"
"essex county hospital","breast care unit","colchester"
"royal united hospital (north)","cancer management office","combe park"
"castle hill hospital","breast care unit","cottingham/east yorkshire"
"leighton hospital","ward 12","crewe"
"darlington memorial hospital","sopd floor c","darlington"
"trafford general hospital&nbsp;","breast care department","davyhulme"
"derby city general hospital","breast care unit&nbsp;","derby&nbsp;"
"derriford hospital","the primrose breast care centre","derriford"
"doncaster royal infirmary","jasmine centre","doncaster"
"dorset county hospital","surgical out patients","dorchester"
"royal bournemouth hospital","womens health unit","dorset"
"eastbourne district general hospital","paget house","east sussex"
"chase farm hospital","breast office the ridgeway","enfield"
"st margarets hospital","birchwood house","epping"
"epsom general hospital&nbsp;","macmillan butterfly centre","epsom"
"basildon &amp; thurrock general hospital","breast unit","essex"
"royal devon &amp; exeter hospital&nbsp;","exeter breast clinic - room h270&nbsp;","exeter"
"frimley park hospital","f7/f8 corridor","frimley"
"queen elizabeth hospital&nbsp;&nbsp;","breast care unit","gateshead"
"medway-maritime hospital","richard watts unit","gillingham"
"gloucester royal hospital","breast administration office","gloucester"
"royal hospital","haslar elizar mackenzie house","gosport"
"grantham and district&nbsp;","hospital breast care unit&nbsp;","grantham"
"diana princess of wales hospital&nbsp;","breast care unit&nbsp;","grimsby"
"north hampshire hospital","breast care &amp; lymphoedema office","hampshire"
"harrogate district hospital","macmillan dales unit&nbsp;","harrogate"
"university hospital of hartlepool","&nbsp;","hartlepool"
"the princess royal hospital","breast care unit","haywards heath"
"breast cancer haven","&nbsp;","hereford"
"queen elizabeth 11 hospital","breast care unit","hertford"
"king george hospital – redbridge nhs trust","out patients dept","ilford / essex"
"west middlesex univ. hospital","out patients","isleworth"
"queen elizabeth hospital","breast care unit","kings lynn"
"cancer care","slynedales","lancaster"
"blackburn royal infirmary","ward 4","lancs"
"bolton hospital","breast unit","lancs"
"leeds general hospital","c floor – brotherton wing","leeds"
"st james university hospital","breast care clinic","leeds"
"whipps cross hospital","room 38 - elm lodge","leytonstone"
"lincoln county hospital","breast services unit","lincoln"
"walton hospital","aintree breast unit","liverpool"
"king’s college hospital","king’s breast care","london"
"charing cross hospital","breast care unit","london"
"whittington hospital&nbsp;&nbsp;","oncology &amp; palliative care dept. highgate hill&nbsp;","london"
"guy's hospital&nbsp;","the hedley atkins breast unit st thomas street&nbsp;","london"
"royal marsden hospital","ellis ward","london"
"breast cancer haven","&nbsp;","london"
"macclesfield dist. general hospital&nbsp;","macmillan resource centre","macclesfield"
"sth manchester univ. hospital&nbsp;","withington hospital&nbsp;","manchester"
"q.e. the queen mother hospital","breast care unit&nbsp;","margate"
"james cook univ. hospital&nbsp;","main out patients&nbsp;","middlesbrough"
"friarage hospital&nbsp;","scott suite breast care unit&nbsp;","northallerton"
"kettering general hospital","c/o the breast service","northants"
"wansbeck general hospital","breast care unit","northumberland"
"norfolk &amp; norwich univ’ hospital","west block out patients - level 3&nbsp;","norwich"
"st marys hospital","breast care unit","paddington / london"
"edith cavell hospital","ward 9","peterborough"
"poole hospital nhs trust","ladybird unit","poole"
"whiston hospital","the octagon","prescott"
"east surrey hospital","&nbsp;","redhill/ east surrey"
"birch hill hospital","breast care nursing office","rochdale"
"fairfield hospital","the popham centre","rochdale"
"halton hospital","the delamere centre&nbsp;","runcorn"
"salisbury district hospital&nbsp;","breast care department&nbsp;","sailsbury"
"scarborough general hospital","macmillan unit&nbsp;","scarborough"
"scunthorpe general hospital&nbsp;","floor c - out patients cliff gardens&nbsp;","scunthorpe"
"royal hallamshire hospital","g floor - g39","sheffield"
"south tyneside district hospital","breast care nurses","south shields"
"royal south hants hospital","level c","southampton"
"southport and ormskirk hospital","c/o out patients","southport&nbsp;"
"st albans city hospital","breast clinic","st albans"
"conquest hospital","the ridge&nbsp;","st leonards-on-sea"
"airedale general hospital","breast care unit","steeton"
"lister hospital l23","breast clinic","stevenage"
"bupa north cheshire hospital","the ward","stretton"
"hinchingbrooke park hospital","the woodlands centre","suffolk"
"sunderland royal hospital","chester wing out patients","sunderland"
