"nr.","museum","country","score *"
"1","museum of modern art (moma)","usa","11"
"2","metropolitan museum of art","usa","14"
"3","musée du louvre","france","34"
"4","national gallery of art","usa","35"
"5","victoria and albert museum","united kingdom","37"
"6","j. paul getty museum","usa","40"
"7","deutsches historisches museum","germany","50"
"8","los angeles county museum of art (lacma)","usa","51"
"9","state hermitage museum","russia","53"
"10","brooklyn museum of art","usa","58"
"11","national maritime museum","united kingdom","59"
"12","museum of fine arts (mfa)","usa","61"
"13","national gallery","united kingdom","67"
"14","rijksmuseum","netherlands","69"
"15","museo nacional del prado","spain","72"
"16","royal academy of arts","united kingdom","74"
"17","tate britain","united kingdom","76"
"18","museum of new zealand te papa tongarewa","new zealand","83"
"19","philadelphia museum of art","usa","87"
"20","minneapolis institute of arts","usa","88"
"21","indianapolis museum of art","usa","89"
"22","ashmolean museum","united kingdom","94"
"23","detroit institute of arts (dia)","usa","108"
"24","museo thyssen-bornemisza","spain","111"
"25","seattle art museum","usa","114"
"26","saint louis art museum (slam)","usa","123"
"27","art gallery of ontario (ago)","canada","133"
"28","manchester art gallery","united kingdom","141"
"29","corcoran gallery of art","usa","141"
"30","national gallery of scotland /national portrait gallery","united kingdom","145"
"31","royal collection","united kingdom","149"
"32","national museum of western art","japan","150"
"33","high museum of art","usa","156"
"34","jewish museum","usa","161"
"35","norton simon museum","usa","165"
"36","kunsthistorisches museum (khm)","austria","168"
"37","frick collection","usa","168"
"38","isabella stewart gardner museum","usa","175"
"39","museum of fine arts houston","usa","178"
"40","denver art museum","usa","183"
"41","national museum of wales","united kingdom","184"
"42","palacio real","spain","186"
"43","sinebrychoffin taidemuseo","finland","187"
"44","patrimonio nacional","spain","189"
"45","wallace collection","united kingdom","190"
"46","statens museum for kunst","denmark","194"
"47","muzeum ksiazat lubomirskich","poland","197"
"48","milwaukee art museum","usa","203"
"49","walters art museum","usa","209"
"50","carnegie museum of art","usa","218"
"51","worcester art museum","usa","225"
"52","städel museum","germany","227"
"53","cleveland museum of art","usa","234"
"54","hamburger kunsthalle","germany","237"
"55","klassik stiftung weimar","germany","244"
"56","portland art museum","usa","249"
"57","nelson-atkins museum of art","usa","253"
"58","albright-knox art gallery","usa","254"
"59","landesmuseum für kunst und kulturgeschichte","germany","255"
"60","museum boijmans van beuningen","netherlands","255"
"61","phoenix art museum","usa","256"
"62","schloss sanssouci","germany","257"
"63","national gallery of canada","canada","261"
"64","gemäldegalerie staatliche museen zu berlin","germany","265"
"65","north carolina museum of art","usa","265"
"66","john and mable ringling museum of art","usa","270"
"67","kunst- und ausstellungshalle der bundesrepublik deutschland","germany","270"
"68","dallas museum of art","usa","272"
"69","germanisches nationalmuseum","germany","274"
"70","szépmüvészeti múzeum","hungary","277"
"71","landesmuseum joanneum - alte galerie","austria","286"
"72","musée jacquemart-andré","france","289"
"73","koninklijke musea voor schone kunsten van belgië","belgium","290"
"74","british museum","united kingdom","292"
"75","musée national d'histoire et d'art","luxembourg","292"
"76","van gogh museum","netherlands","293"
"77","city museums and art gallery","united kingdom","293"
"78","göteborgs konstmuseum","sweden","293"
"79","chatsworth house","united kingdom","294"
"80","peter the great museum of anthropology and ethnography","russia","295"
"81","sterling and francine clark art institute","usa","309"
"82","kunstareal munchen","germany","316"
"83","kröller-müller museum","netherlands","316"
"84","slovenská národná galéria","slovak republic","316"
"85","museum gustavianum uppsala","sweden","317"
"86","toledo museum of art","usa","319"
"87","san diego museum of art","usa","319"
"88","mauritshuis","netherlands","320"
"89","museum der bildenden künste leipzig","germany","325"
"90","kunsthaus zürich","switzerland","329"
"91","pushkin state museum of fine arts","russia","330"
"92","museo nacional de bellas artes","argentina","330"
"93","joods historisch museum","netherlands","333"
"94","van abbemuseum","netherlands","336"
"95","erfgoedcentrum diep","netherlands","339"
"96","národní galerie v praze","czech republic","340"
"97","amsterdams historisch museum (ahm)","netherlands","344"
"98","new orleans museum of art (noma)","usa","347"
"99","staatsgalerie stuttgart","germany","347"
"100","ackland art museum","usa","352"
"101","chrysler museum of art","usa","354"
"102","blanton museum of art","usa","356"
"103","museo nacional de bellas artes de cuba","cuba","357"
"104","musée des beaux-arts de lyon","france","358"
"105","auckland art gallery toi o tämaki","new zealand","359"
"106","muzeum narodowe w warszawie","poland","359"
"107","galleria borghese","italy","366"
"108","kunstmuseum liechtenstein","liechtenstein","368"
"109","kunstmuseum basel","switzerland","378"
"110","staatliche kunstsammlungen dresden","germany","385"
"111","centraal museum","netherlands","386"
"112","musée des beaux-arts de montréal","canada","392"
"113","firenze musei","italy","398"
"114","musée d'art et d'histoire","switzerland","402"
"115","israel museum","israel","403"
"116","von der heydt-museum","germany","404"
"117","oberösterreichisches landesmuseum","austria","407"
"118","liechtenstein museum","austria","407"
"119","williams college museum of art","usa","407"
"120","baltimore museum of art","usa","408"
"121","national museum of fine arts","malta","411"
"122","dayton art institute","usa","412"
"123","museu de arte","brazil","412"
"124","crocker art museum","usa","414"
"125","national gallery of ireland","ireland","417"
"126","wadsworth atheneum museum of art","usa","418"
"127","museo nacional de escultura","spain","419"
"128","bilboko arte eder museoa","spain","420"
"129","stedelijk museum","netherlands","432"
"130","palazzo strozzi","italy","433"
"131","kulturgeschichtliches museum","germany","440"
"132","sprengel museum","germany","441"
"133","groninger museum","netherlands","443"
"134","museum het valkhof","netherlands","450"
"135","barnes foundation","usa","451"
"136","dulwich picture gallery","united kingdom","451"
"137","koninklijk instituut voor het kunstpatrimonium (kik)","belgium","454"
"138","staatliches museum schwerin","germany","455"
"139","speed art museum","usa","457"
"140","nationalmuseum","sweden","459"
"141","moravská galerie","czech republic","460"
"142","noordbrabants museum","netherlands","462"
"143","kunsthalle bremen","germany","463"
"144","maritiem museum rotterdam","netherlands","465"
"145","stedelijk museum de lakenhal","netherlands","469"
