"world rank","city","country","city           population","metro           population","mayor"
"n/r","sacramento","usa","419000","1000000","kevin johnson"
"432","safi","morocco","933000","","n/k"
"n/r","saint louis","usa","371000","2850000","francis g. slay"
"334","saitama","japan","1183000","","hayato shimizu"
"470","sakai","japan","836000","","keisuke kiharac"
"446","sal&eacute;","morocco","904000","","n/k"
"n/r","salt lake city","usa","188000","1677000","ralph becker"
"79","salvador da bahia","brazil","2998000","3173000","jo&atilde;o henrique carneiro"
"344","samara","russia","1160000","1500000","viktor tarkhov"
"276","san antonio","usa","1351000","2031000","julian castro"
"305","san diego","usa","1280000","3001000","jerry sanders"
"491","san francisco","usa","809000","3229000","n/k"
"n/r","san jose","costa rica","357000","1370000","johnny araya"
"409","san jose","usa","1007000","1819000","chuck reed"
"n/r","san juan","puerto rico","442000","2500000","jorge a. santini padilla"
"544","san luis potosi","mexico","685000","957000","jorge lozano armengol"
"n/r","san salvador","el salvador","520000","1580000","norman quijano"
"172","sanaa","yemen","1747000","2168000","abdulrahman al-akwaa"
"196","santa cruz","bolivia","1595000","1863000","percy fernandez"
"35","santiago","chile","5278000","6677000","pablo zalaquett said"
"284","santiago de los caballeros","dominican republic","1329000","1937.000","gilberto serulle"
"494","santiago de queretaro","mexico","805000","1085000","francisco dom&iacute;nguez servien"
"80","santo domingo","dominican republic","2989000","3813000","roberto salcedo"
"n/r","santos","brazil","418000","1477000","jo&atilde;o paulo tavares papa"
"507","sao bernardo do campo","brazil","783000","","luiz marinho"
"419","sao goncalo","brazil","973000","1.221000","n/k"
"567","sao jose dos campos","brazil","611000","794000","eduardo cury"
"417","sao luis","brazil","987000","1228000","jo&atilde;o castelo"
"9","sao paulo","brazil","11038000","19890000","gilberto kassab"
"148","sapporo","japan","1906000","2130000","fumio ueda"
"472","saratov","russia","831000","1100000","vyacheslav leonovich somov"
"581","seattle","usa","578000","3584000","mike mcginn"
"259","semarang","indonesia","1393000","1400000","soemarmo hs"
"396","sendai","japan","1032000","1300000","emiko okuyama"
"379","seongnam","south korea","1073000","","n/k"
"8","seoul","south korea","11153000","24472000","oh se-hoon"
"537","sevilla","spain","704000","1135000","lfredo s&aacute;nchez monteseir&iacute;n"
"2","shanghai","china","14900000","19200000","han zheng"
"191","shangqiu","china","1610000","8220000","tao minglun"
"167","shantou","china","1770000","4972000","cai zong ze"
"599","sheffield","uk","535000","640000","paul scriven"
"37","shenyang","china","5090000","7760000","li yingjie"
