"common        name","scientific        name","abun-        dance"
"red-throated loon","gavia stellata","u"
"pacific loon","gavia pacifica","fc"
"common loon","gavia immer","fc"
"pied-billed grebe","podilymbus podiceps","u"
"horned grebe","podiceps auritus","fc"
"red-necked grebe","podiceps grisegena","u"
"eared grebe","podiceps nigricollis","fc"
"western grebe","aechmophorus occidentalis","fc"
"clark's grebe","aechmophorus clarkii","u"
"wandering albatross","diomedea exulans","x"
"pink-footed shearwater","puffinus creatopus","x"
"flesh-footed shearwater","puffinus carneipes","x"
"sooty shearwater","puffinus griseus","x"
"brown pelican","pelecanus occidentalis","c"
"brandt's cormorant","phalacrocorax penicillatus","c"
"double-crested cormorant","phalacrocorax auritus","c"
"pelagic cormorant","phalacrocorax pelagicus","c"
"magnificent frigatebird","fregata magnificens","u"
"great blue heron","ardea herodias","c"
"great egret","ardea alba","fc"
"snowy egret","egretta thula","u"
"cattle egret","bubulcus ibis","r"
"green heron","butorides virescens","u"
"black-crowned night-heron","nycticorax nycticorax","u"
"turkey vulture","cathartes aura","c"
"canada goose","branta canadensis","c"
"brant","branta bernicla","c"
"wood duck","aix sponsa","u"
"american wigeon","anas americana","u"
"mallard","anas platyrhynchos","c"
"cinnamon teal","anas cyanoptera","u"
"northern shoveler","anas clypeata","u"
"northern pintail","anas acuta","u"
"green-winged teal","anas crecca","fc"
"harlequin duck","histrionicus histrionicus","fc"
"surf scoter","melanitta perspicillata","fc"
"white-winged scoter","melanitta fusca","fc"
"black scoter","melanitta nigra","u"
"bufflehead","bucephala albeola","c"
"common goldeneye","bucephala clangula","u"
"hooded merganser","lophodytes cucullatus","u"
"common merganser","mergus merganser","fc"
"red-breasted merganser","mergus serrator","fc"
"ruddy duck","oxyura jamaicensis","fc"
"osprey","pandion haliaetus","c"
"white-tailed kite","elanus leucurus","c"
"bald eagle","haliaeetus leucocephalus","r"
"northern harrier","circus cyaneus","fc"
"sharp-shinned hawk","accipiter striatus","u"
"cooper's hawk","accipiter cooperii","u"
"red-shouldered hawk","buteo lineatus","fc"
"broad-winged hawk","buteo platypterus","r"
"red-tailed hawk","buteo jamaicensis","c"
"ferruginous hawk","buteo regalis","u"
"rough-legged hawk","buteo lagopus","u"
"golden eagle","aquila chrysaetos","r"
"american kestrel","falco sparverius","fc"
"merlin","falco columbarius","u"
"peregrine falcon","falco peregrinus","u"
"wild turkey","meleagris gallopavo","c"
"california quail","callipepla californica","c"
"virginia rail","rallus limicola","r"
"sora","porzana carolina","r"
"american coot","fulica americana","c"
"black-bellied plover","pluvialis squatarola","fc"
"pacific golden-plover","pluvialis fulva","u"
"semipalmated plover","charadrius semipalmatus","fc"
"killdeer","charadrius vociferus","c"
"black oystercatcher","haematopus bachmani","c"
"american avocet","recurvirostra americana","uc"
"greater yellowlegs","tringa melanoleuca","uc"
"lesser yellowlegs","tringa flavipes","r"
"willet","catoptrophorus semipalmatus","c"
"wandering tattler","heteroscelus incanus","fc"
"spotted sandpiper","actitis macularia","c"
"marbled godwit","limosa fedoa","u"
"ruddy turnstone","arenaria interpres","u"
"black turnstone","arenaria melanocephala","c"
"surfbird","aphriza virgata","fc"
"sanderling","calidris alba","c"
"western sandpiper","calidris mauri","fc"
"least sandpiper","calidris minutilla","fc"
"baird's sandpiper","calidris bairdii","r"
"pectoral sandpiper","calidris melanotos","r"
"dunlin","calidris alpina","fc"
"short-billed dowitcher","limnodromus griseus","uc"
"long-billed dowitcher","limnodromus scolopaceus","uc"
"wilson's phalarope","phalaropus tricolor","r"
"red-necked phalarope","phalaropus lobatus","u"
"red phalarope","phalaropus fulicaria","r"
"pomarine jaeger","stercorarius pomarinus","r"
"long-tailed jaeger","stercorarius longicaudus","r"
"bonaparte's gull","larus philadelphia","uc"
"heermann's gull","larus heermanni","c"
"mew gull","larus canus","c"
"ring-billed gull","larus delawarensis","c"
"california gull","larus californicus","c"
"herring gull","larus argentatus","fc"
"thayer's gull","larus thayeri","r"
"western gull","larus occidentalis","c"
"glaucous-winged gull","larus glaucescens","c"
"glaucous gull","larus hyperboreus","r"
"black-legged kittiwake","rissa tridactyla","r"
"caspian tern","sterna caspia","fc"
"elegant tern","sterna elegans","r"
"forster's tern","sterna forsteri","u"
"common murre","uria aalge","fc"
"pigeon guillemot","cepphus columba","c"
"ancient murrelet","synthliboramphus antiquus","r"
"rhinoceros auklet","cerorhinca monocerata","r"
"rock dove","columba livia","fc"
"band-tailed pigeon","columba fasciata","c"
"mourning dove","zenaida macroura","c"
"barn owl","tyto alba","r"
"western screech-owl","otus kennicottii","u"
"great horned owl","bubo virginianus","u"
"northern pygmy-owl","glaucidium gnoma","u"
"burrowing owl","athene cunicularia","r"
"spotted owl","strix occidentalis","r"
"northern saw-whet owl","aegolius acadicus","r"
"common nighthawk","chordeiles minor","r"
"common poorwill","phalaenoptilus nuttallii","x"
"vaux's swift","chaetura vauxi","u"
"anna's hummingbird","calypte anna","c"
"rufous hummingbird","selasphorus rufus","c"
"allen's hummingbird","selasphorus sasin","c"
"belted kingfisher","ceryle alcyon","c"
"acorn woodpecker","melanerpes formicivorus","c"
"red-breasted sapsucker","sphyrapicus ruber","fc"
"downy woodpecker","picoides pubescens","c"
"hairy woodpecker","picoides villosus","c"
"northern flicker","colaptes auratus","c"
"pileated woodpecker","dryocopus pileatus","fc"
"olive-sided flycatcher","contopus cooperi","fc"
"western wood-pewee","contopus sordidulus","fc"
"willow flycatcher","empidonax traillii","r"
"pacific-slope flycatcher","empidonax difficilis","c"
"black phoebe","sayornis nigricans","c"
"say's phoebe","sayornis saya","u"
"ash-throated flycatcher","myiarchus cinerascens","x"
"sulphur-bellied flycatcher","myiodynastes luteiventris","x"
"western kingbird","tyrannus verticalis","r"
"scissor-tailed flycatcher","tyrannus forficatus","x"
"loggerhead shrike","lanius ludovicianus","r"
"cassin's vireo","vireo cassinii","fc"
"hutton's vireo","vireo huttoni","c"
"warbling vireo","vireo gilvus","c"
"gray jay","perisoreus canadensis","r"
"steller's jay","cyanocitta stelleri","c"
"western scrub-jay","aphelocoma californica","c"
"common raven","corvus corax","c"
"purple martin","progne subis","fc"
"tree swallow","tachycineta bicolor","fc"
"violet-green swallow","tachycineta thalassina","fc"
"northern rough-winged swallow","stelgidopteryx serripennis","fc"
"cliff swallow","petrochelidon pyrrhonota","c"
"barn swallow","hirundo rustica","c"
"chestnut-backed chickadee","poecile rufescens","c"
"oak titmouse","baeolophus inornatus","u"
"bushtit","psaltriparus minimus","fc"
"red-breasted nuthatch","sitta canadensis","fc"
"white-breasted nuthatch","sitta carolinensis","u"
"pygmy nuthatch","sitta pygmaea","fc"
"brown creeper","certhia americana","c"
"rock wren","salpinctes obsoletus","x"
"bewick's wren","thryomanes bewickii","u"
"house wren","troglodytes aedon","u"
"winter wren","troglodytes troglodytes","c"
"marsh wren","cistothorus palustris","r"
"golden-crowned kinglet","regulus satrapa","u"
"ruby-crowned kinglet","regulus calendula","fc"
"western bluebird","sialia mexicana","fc"
"townsend's solitaire","myadestes townsendi","r"
"swainson's thrush","catharus ustulatus","c"
"hermit thrush","catharus guttatus","c"
"american robin","turdus migratorius","c"
"varied thrush","ixoreus naevius","fc"
"wrentit","chamaea fasciata","c"
"northern mockingbird","mimus polyglottos","u"
"european starling","sturnus vulgaris","c"
"american pipit","anthus rubescens","fc"
"cedar waxwing","bombycilla cedrorum","fc"
"orange-crowned warbler","vermivora celata","c"
"nashville warbler","vermivora ruficapilla","u"
"yellow warbler","dendroica petechia","u"
