"dial location","call letters","format","address","telephone"
"am 790","kabc      (abc radio networks)","news/talk","3321 s la cienega blvd los angeles 90016","(310) 840-4900"
"am 900","kali am","spanish news/talk","747 e green st pasadena 91101","(626) 844-8882"
"am 1300","kazn(asian radio)","chinese variety","747 e green st pasadena 91101","(626) 568-1300"
"am 1580","kbla","spanish news/talk","123 figueroa st #101a los angeles 90012","(213) 628-8700"
"am 740","kbrt(k-bright)","religious talk","3183-d airway ave costa mesa 92626","(714) 754-4450"
"am 1110","kdis      (radio disney)","children&#146;s programming","3321 s la cienega blvd los angeles 90016","(310) 840-4900"
"am 640","kfi      (more stimulating talk radio)","talk","610 s ardmore ave los angeles 90005","(213) 385-0101"
"am 1650","kfox(radio seoul)","korean","{501 s|anta  monica blvd ste 301|s|anta  monica|&nbsp;90401}","(310) 395-1427"
"am 1280","kfrn      (family radio network)","religious","105 linden ave long beach 90802","(562) 435-0103"
"am 980","kfwb(news 98)","news","6230 yucca st los angeles 90028","(323) 462-5392"
"am 930","khj(la ranchera)","spanish ranchero","1845 empire ave burbank 91504","(818) 729-5300"
"am 670","kirn(radio iran)","iranian","123 s figueroa st ste 101a los angeles 90012","(213) 628-8700"
"am 570","klac","oldies","610 s ardmore ave los angeles 90005","(213) 385-0101"
"am 1390","kltx(nueva vida)","spanish religious","136 s. oak knoll #202 pasadena 91101","(626) 356-4230"
"am 1600","kmny","chinese","747 e green st pasadena 91101","(626) 844 1600"
"am 1540","kmpc      (sporting news radio)","sports","2800 28th st. #308 santa monica 90404","(310) 452-7100"
"am 1430","kmrb","cantonese","747 east green st pasadena 91101","(626) 844-8882"
"am 830","kmxe","spanishtalk","15301 ventura blvd #210 sherman oaks 91403","(818) 528-2050"
"am 1070","knx      (cbs radio)","news","6121 sunset blvd los angeles 90028","(323) 460-3000"
"am 870","krla(smart talk)","talk","701 n brand #550 glendale 91203","(818) 956-5552"
"am 1510","kspa(station of the stars)","adult standards","9485 haven ave rancho cucamonga 91730","(909) 483-1500"
"am 710","kspn(espn radio)","sports","3321 s la cienega blvd los angeles 90046","(310) 840-2874"
"am 1260","ksur","adult standards","1500 cotner ave&nbsp;los angeles&nbsp;90025","(310) 478-5540"
"am 1020","ktnq(10-20)","news sports information spanish","655 n. central ave #2500 glendale 91203","(818) 500-4500"
"am 1460","ktym","religious/ethnic","6803 west blvd inglewood 90302","(310) 672-3700"
"am 1480","kvnr(radio vietnam)","asian","9355 chapman ave&nbsp; #108 garden grove 92841","(714) 741-9502"
"am 1330","kwkw(13-30)","spanish news/talk/sports","1645 n vine st #201 los angeles 90028","(323) 466-8111"
"am 1190","kxmx","foreign language/talk","701 n brand blvd glendale 91203","(818) 956-5552"
"am 1150","kxta      (fox sports)","sports talk","610 s ardmore ave los angeles 90005","(213) 385-0101"
"am 1230","kypa      (radio korea)","korean","626 s kingsley dr los angeles 90005","(213) 625-3000"
