"country","currency name /currency code","rate bank willbuy from you:","rate bank willsell to you:"
"united states","dollar (usd)","0.9660","1.0178"
"euro","euro (eur)","1.2525","1.3594"
"great britain","pound (gbp)","1.5200","1.6250"
"switzerland","franc (chf)","1.0379","1.1269"
"japan","yen (jpy)","0.012475","0.013479"
"australia","dollar (aud)","1.0110","1.1417"
"new zealand","dollar (nzd)","0.7849","0.8866"
"denmark","krone (dkk)","0.1674","0.1845"
"norway","krone (nok)","0.1627","0.1801"
"sweden","krona (sek)","0.1412","0.1562"
"&nbsp;","&nbsp;","NULL","NULL"
"aruba","florin (awg)","0.4601","0.6090"
"austria","schilling (ats)","0.08546","refer to euro"
"bahamas","dollar (bsd)","n/a","1.0254"
"bahrain","dinar (bhd)","2.3062","2.8486"
"barbados","dollar (bbd)","0.4417","0.5389"
"belgium","franc (bef)","0.02915","refer to euro"
"belize","dollar (bzd)","0.4526","0.5389"
"bermuda","dollar (bmd)","0.8214","1.0244"
"brazil","real (brl)","0.5212","0.6362"
"brunei","dollar (bnd)","0.6916","0.8575"
"cayman islands","dollar (kyd)","1.0893","1.2935"
"chile","peso (clp)","0.001844","0.002255"
"china","renminbi (cny)","0.1421","0.1728"
"colombia","peso (cop)","0.000475","0.000612"
"costa rica","colon (crc)","0.001797","0.002182"
"cyprus","pound (cyp)","1.8348","refer to euro"
"czech republic","koruna (czk)","0.04714","0.05870"
"dominican republic","peso (dop)","0.0236","0.0285"
"east caribbean","dollar (xcd)","0.3368","0.4081"
"egypt","pound (egp)","n/a","n/a"
"estonia","kroon (eek)","0.07010","refer to euro"
"fiji","dollar (fjd)","0.5175","0.6325"
"finland","markka (fim)","n/a","refer to euro"
"france","franc (frf)","n/a","refer to euro"
"germany","deutsche mark (dem)","0.6013","refer to euro"
"gibraltar","pound (gip)","1.4494","1.6525"
"greece","drachma (grd)","n/a","refer to euro"
"guatemala","quetzal (gtq)","0.1165","0.1394"
"guernsey","pound (gsp)","1.4808","1.6525"
"honduras","lempira (hnl)","0.0481","0.0575"
"hong kong","dollar (hkd)","0.1197","0.1376"
"hungary","forint (huf)","0.00405","0.00512"
"iceland","krona (isk)","n/a","0.01018"
"india","rupee (inr)","0.01806","0.02271"
"indonesia","rupiah (idr)","0.000094","0.000128"
"ireland","punt (iep)","1.4269","refer to euro"
"isle of man","pound (imp)","1.4808","1.6525"
"israel","shekel new (ils)","0.2380","0.2946"
"italy","lira (itl)","n/a","refer to euro"
"jamaica","dollar (jmd)","0.0103","0.0131"
"jersey","pound (jsp)","1.4808","1.6525"
"jordan","dinar (jod)","1.2679","1.5480"
"kenya","shilling (kes)","0.01053","0.01382"
"kuwait","dinar (kwd)","3.2416","3.8792"
"latvia","lats (lvl)","1.6560","2.1000"
"lithuania","litas (ltl)","0.3368","0.4311"
"luxembourg","franc (luf)","0.02915","refer to euro"
"malaysia","ringgit (myr)","0.2740","0.3664"
"malta","lira (mtl)","2.4935","refer to euro"
"mauritius","rupee (mur)","0.03019","0.03894"
"mexico","peso (mxn)","0.0702","0.0832"
"morocco","dirham (mad)","0.1006","0.1362"
"netherlands","euro (eur)","refer to euro","refer to euro"
"netherlands antilles","n.a. gulden (ang)","n/a","n/a"
"north ireland","n. ireland pound (nir)","1.5161","1.6250"
"oman","rial (omr)","2.3312","2.7910"
"pakistan","rupee (pkr)","0.00971","0.01255"
"paraguay","guarani (pyg)","n/a","n/a"
"peru","neuvo sol (pen)","0.3353","0.4009"
"philippines","peso (php)","0.01891","0.02552"
"poland","zloty (pln)","0.2775","0.3448"
"portugal","escudo (pte)","n/a","refer to euro"
"qatar","rial (qar)","0.2479","0.2956"
"russian federation","ruble (rub)","0.02916","0.03621"
"saudi arabia","riyal (sar)","0.2413","0.2909"
"scotland","scottish pound (sco)","1.5161","1.6250"
"singapore","dollar (sgd)","0.7511","0.8610"
"slovakia","koruna (skk)","0.03434","refer to euro"
"slovenia","tolar (sit)","0.004281","refer to euro"
"south africa","rand (zar)","0.1157","0.1423"
"south korea","won (krw)","0.000813","0.000979"
"spain","peseta (esp)","0.00675","refer to euro"
"tahiti","franc (xpf)","0.009738","0.012190"
"taiwan","dollar (twd)","0.02775","0.03751"
"thailand","baht (thb)","0.02804","0.03663"
"trinidad &amp; tobago","dollar (ttd)","0.1416","0.1732"
"tunisia","dinar (tnd)","0.5188","0.8346"
"turkey","lira (trl)","n/a","n/a"
"united arab emirates","dirham (aed)","0.2460","0.2967"
"uruguay","peso (uyu)","0.04638","0.05703"
"venezuela","bolivar (veb)","n/a","n/a"
