"country","{2|[49]}","gdp nominal (us$m)[50]","per capitagdp (us$)[51]","population[52]","government[53]","conscription[54]"
"albania","27398","$11800","$2949.57","2994667","parliamentary democracy","no (abolished in 2010[55])"
"algeria","2381740","$159000","$3948.01","34994937","republic","yes"
"angola","1246700","$85810","$5003.43","13338541","republic; multiparty presidential regime","yes"
"argentina","2736690","$351000","$8662.99[56]","41769726","republic","no. voluntary; conscription may be ordered for specified reasons; per public law no.24.429 promulgated on 5 january 1995."
"australia","7617930","$1220000","$44474.51","21766711","federal parliamentary democracy","no (abolished by parliament in 1972[57])"
"austria","82444","$366300","$45598.77","8217280","federal republic","{alternative service|[58]}"
"bahamas","10070","$7538","$21547.17","313312","constitutional monarchy with a parliamentary system of government","no"
"bangladesh","133910","$100100","$481.36","158570535","parliamentary democracy","no"
"belgium","30278","$461300","$43648.01","10431477","federal parliamentary democracy under constitutional monarchy","conscription was abolished as of 1 january 1994 under the so-called delacroix bill of 6 july 1993[59])suspended (conscription suspended as of 1 january 1994)[citation needed]"
"belize","22806","$1431","$4327.67","321115","parliamentary democracy","no. military service is voluntary."
"bhutan","47000","$1397","$561.89","708427","constitutional monarchy","no[60]"
"bolivia","1084390","$19180","$1446.41","10118683","republic","yes (when annual number of volunteers falls short of goal[61])"
"bosnia and herzegovina","51197","$16320","$3246.78","4622163","emerging federal democratic republic","no (abolished on january 1 2006.[62])"
"brazil","8456510","$2024000","$6915.40","203429773","federal republic","yes"
"bulgaria","110550","$44840","$5409.09","7093635","parliamentary democracy","no (abolished by law on january 1 2008[63])"
"burma","657740","$35650","$285.60","53999804","military junta","{sources differ|yes but not enforced as of january 2011[update].[64][65][66][67][68]|no (fwcc[69])}"
"canada","9984670","$1334140","$40457","34733000","federal parliamentary democracy","no"
"chile","748800","$199200","$10058.50","16888760","republic","yes"
"china people's republic of","9326410","$5745000","$2459.43","1336718015","communist state","no legal under constitution but has not yet been practiced in history"
"croatia","56414","$59920","$11430.32","4483804","presidential/parliamentary democracy","no (abolished by law in 2008[70])"
"cuba","110860","$57490","$4000.34","11087330ã","communist state","yes"
"cyprus","9240","$22750","$27014.79","1120489","republic[71]","{alternative service|[72]|[73]|[74]}"
"denmark","42394","$311900","$57039.71","5529888","constitutional monarchy","{alternative service|[72]|[73]|[75]}"
"djibouti","22980","$1139","$1694.29","757074","republic","no"
"ecuador","276840","$56500","$3211.76","15007343","republic","yes"
"egypt","995450","$127900","$1592.08","81713520","republic","yes"
"el salvador","20720","$21800","$2931.75","6071774","republic","no. legal not practiced."
"finland","304473","$238000","$46769.47","5259250","republic","yes (alternative service available)"
"france","640053[76]","$2555000","$35240.62","65102719","republic","no (suspended in 2001[77])"
"gambia the","10000","$1040","$386.77","1797860","republic","no"
"germany","349223","$3306000","$40315.05","81471834","federal parliamentary republic","{peacetime|[78]}"
"greece","130800","$302000","$29384.60","10760136","parliamentary republic","yes"
"grenada","344","$645","$6557.67","108419","parliamentary democracy","no (no military service)"
"hungary","92340","$132300","$13901.01","9976062","parliamentary democracy","no (peacetime conscription abolished in 2004[79])"
"india","2973190","$1099000","$972.68","1147995904","federal republic","no"
"indonesia","1826440","$695100","$1844.53","245613043","republic","{sources differ|yes selective conscription (fwcc[69])|no[80][81][82]}"
"iran","1636000","$337900","$4497.11","77891220","theocratic republic","yes"
"israel","20330","$201300","$25191.86","7473052","parliamentary democracy","yes"
"jamaica","10831","$13740","$4032.18","2868380","constitutional parliamentary democracy","no"
"japan","374744","$5391000","$34402.26","126475664","constitutional monarchy with a parliamentary government","no"
"jordan","91971","$27130","$2644.89","6508271","constitutional monarchy","{sources differ|yes. the government decided in 2007 to reintroduce conscription which had been suspended in 1999.[83]|no. suspended indefinitely in 1992 and all members of the armed forces are regular volunteers.[54]no. conscription at age 18 was suspended in 1999 although all males under age 37 are required to register.[84]}"
"korea north","120538[85]","$28000[85]","$1800.00[85]","24457492[85]","communist state one-man dictatorship[85]","{[85]|[86]}"
"korea south","98190","$986300","$19514.81","48754657","republic","yes"
"kuwait","17820","$117300","$44421.22","2595628","constitutional emirate","yes"
"lebanon","10230","$39150","$6276.90","4143101","sources differ[89]","no (abolished in 2007)[88])"
"libya","1759540","$77910","$9451.85","6597960","{caretaker government|[update]|[90]}","yes"
"lithuania","65300[91]","$35730","$10725.96","3535547","parliamentary democracy","no (suspended on september 15 2008[92])"
"luxembourg","2586","$52430","$104451.69","503302","constitutional monarchy","no"
"macedonia republic of","24856","$9170","$3646.55","2077328","parliamentary democracy","no (abolished in 2006)[93]"
"malaysia","328550","$219000","$7513.71","28728607","constitutional monarchy","no"
"maldives","300","$1433","$2842.58","394999","republic","no"
"malta","316","$7801","$18460.73","408333","republic","no"
"mexico","1923040","$1004000","$8218.88","113724226","federal republic","yes"
"moldova","33371","$5357","$978.36","4314377","republic","yes"
"nepal","143181","$15110","$333.09","29391883","democratic republic","no"
"netherlands","33883","$770300","$46389.35","16847007","constitutional monarchy","{curaçao|aruba|[citation needed]|[94]|see also: conscription in the netherlands}"
"new zealand","268021","$138000","$31124.18","4290347","parliamentary democracy","no conscription abolished in december 1972."
"norway","307442","$413500","$84595","4691849","constitutional monarchy","yes"
"pakistan","778720","$174800","$872.88","187342721","federal republic","no"
"philippines","298170","$188700","$1582.17","101833938","republic","{[95]|[96]|citizenship advancement training}"
"poland","304459","$470000","$10911.71","38441588","republic","no[97]"
"qatar","11437","$126500","$74688.97","848016","emirate","no"
"romania","230340","$158400","$7451.95","21904551","republic","no (ended in 2007[98])"
"russia","16995800","$1290000","$9124.49","140702096","federation","{alternative service|[citation needed]}"
"rwanda","24948","$5693","$335.10","10186063","republic; presidential","no"
"saudi arabia","2149690","$434400","$13622.68","26131703","monarchy","no"
"seychelles","455","$919","$8669.64","89188","republic","yes"
"singapore","682.7","$233900","$35427.12","4740737","parliamentary republic","yes"
"slovenia","20151","$46440","$22933.99","2000092","parliamentary republic","no[99]"
"south africa","1219912","$354400","$6423.04","49004031","republic","no (ended in 1994 formalized in 2002)[100]"
"spain","499542","$1375000","$35576.37","46754784","parliamentary monarchy","no (abolished by law on december 31 2001[101])"
"swaziland","17203","$3165","$2591.20","1370424","monarchy","no"
"switzerland","39770","$522400","$56111.06","7639961","a confederation only in name legally and structurally a federal republic","yes"
"syria","184050","$59630","$1954.98","19747586","republic under an authoritarian military-dominated regime","yes"
"taiwan (republic of china) [102]","32260","$427000","$16768.11","23071779","multiparty democracy","yes (alternative service available[103])an all-volunteer force is planned by the end of 2014 but conscription will remain in practice thereafter.[104]"
"thailand","511770","$312600","$3776.0","66720153","constitutional monarchy","yes"
"tonga","718","$301","$1873.06","105916","constitutional monarchy","no"
"trinidad and tobago","5128","$21200","$19590.99","1227505","parliamentary democracy","no"
"turkey","770760","$729100","$9322.83","78785548","republican parliamentary democracy","yes"
"united kingdom","241590","$2259000","$45626.38","62698362","constitutional monarchy and commonwealth realm","{bermuda regiment|[105]}"
"united states","9161923","$14620000","$45958.70","313232044","federal republic","{[106]|u.s. selective service system}"
"vanuatu","12200","$721","$2146.52","224564","parliamentary republic","no"
"venezuela","882050","$285200","$9084.09","27635743","federal republic","{[107]|[108]}"
