"creator","{|creation}","{|age (years)}"
"louis braille","invented a system of printing and writing for the blind","15"
"blaise pascal","formulated pascal’s theorem","16"
"galileo galilei","discovered the laws of pendulum motion at the age of law of falling bodies","17"
"edwin land","patented his first polarizing light filter","19"
"george westinghouse","first patent for a rotary steam engineinvented airbrakes","1922"
"guglielmo marconi","invented a system of radio telegraphy","21"
"joshua lederberg","discovered bacterial conjugation","21"
"thomas edison","invented automated relaying communications device","22"
"carl gauss","proved the theorem of complex coefficients","22"
"john nash","published his theory of non-cooperative games","22"
"brian josephson","predicted the josephson effect","22"
"james hillier","developed the electron microscope","22"
"isaac newton","calculus principles of optics elements of circular motion inverse square law of gravity","23"
"louis parker","invented a low frequency receiver for radio waves","23"
"srinivasa ramanujan","published his first mathematical papers","24"
"satyendra bose","published is first statistical mechanics papers","24"
"paul dirac","quantum mechanics for motion of atomic particles","24"
"richard feynman","published his theory of electromagnetic waves","24"
"walt disney","drew his first animated cartoon","24"
"max perutz","crystallographic studies of glaciersapplied xray crystallography to study hemoglobin","2425"
"james clerk maxwell","published first paper on electromagnetic lines of force","25"
"enrico fermi","postulated his statistical laws","25"
"earnest rutherford","discovered the alpha beta and gamma radiation","25"
"george eastman","made commercial dry photographic plates","25"
"james watson","co-published his paper on dna","25"
"louis pasteur","discovered tartarate isomers","26"
"henri poincare","created automorphic functions","26"
"albert einstein","published 3 ground-breaking articles (including relativity)","26"
"niels bohr","proposed his model of the bohr atom","26"
"werner heisenberg","derived his uncertainty principle","26"
"nicola tesla","constructed his first induction motor","27"
"linus pauling","laid down pauling’s rules","27"
"lee tsung-dao","discovered the decay modes of kaon","29"
