"year","winner/2nd","NULL","scores","total","money (us$)"
"1998","fred couples","1","64-70-66-66-66","332","414000.00"
"&nbsp;","bruce lietzke","2","65-65-71-62-69","332","248400.00"
"1997","john cook","1","66-69-67-62-63","327","270000.00"
"&nbsp;","mark calcavecchia","2","64-67-66-64-67","328","162000.00"
"1996","mark brooks","1","66-68-69-67-67","337","234000.00"
"&nbsp;","john huston","2","69-71-65-65-68","338","140400.00"
"1995","kenny perry","1","63-71-64-67-70","335","216000.00"
"&nbsp;","david duval","2","67-68-65-67-69","336","129600.00"
"1994","scott hoch","1","66-62-70-66-70","334","198000.00"
"&nbsp;","fuzzy zoeller","t2","70-67-66-68-66","337","82133.34"
"&nbsp;","lennie clements","t2","67-69-61-72-68","337","82133.33"
"&nbsp;","jim gallagher jr.","t2","66-67-74-62-68","337","82133.33"
"1993","tom kite","1","67-67-64-65-62","325","198000.00"
"&nbsp;","rick fehr","2","66-66-70-62-67","331","118800.00"
"1992","john cook","1","65-73-63-69-66","336","198000.00"
"&nbsp;","rick fehr","t2","64-72-66-71-63","336","72600"
"&nbsp;","tom kite","t2","65-73-68-67-63","336","72600.00"
"&nbsp;","mark o'meara","t2","66-69-65-67-69","336","72600.00"
"&nbsp;","gene sauers","t2","69-65-64-70-68","336","72600.00"
"1991","corey pavin","1","65-69-66-66-65","331","198000.00"
"&nbsp;","mark o'meara","2","66-65-66-67-67","331","118800.00"
"1990","peter jacobsen","1","67-66-69-66-71","339","180000.00"
"&nbsp;","scott simpson","t2","68-69-67-68-68","340","88000.00"
"&nbsp;","brian tennyson","t2","73-68-66-67-66","340","88000.00"
"1989","steve jones","1","76-68-67-63-69","343","180000.00"
"&nbsp;","paul azinger","t2","69-68-70-67-69","343","88000.00"
"&nbsp;","sandy lyle","t2","70-68-68-68-69","343","88000.00"
"1988","jay haas","1","63-68-69-68-70","338","180000.00"
"&nbsp;","david edwards","2","66-71-71-65-67","340","108000.00"
"1987","corey pavin","1","72-71-65-66-67","341","162000.00"
"&nbsp;","bernhard langer","2","68-66-68-70-70","342","97200.00"
"1986","donnie hammond","1","69-64-68-68-66","335","108000.00"
"&nbsp;","john cook","2","68-67-65-69-66","335","64800.00"
"1985","lanny wadkins","1","67-67-68-66-65","333","90000.00"
