"NULL","country name:","population","area           (sq. km.)","population density          (sq. km.)","area           (sq. mi.)","population density          (sq. mi.)"
"36","china","1339190000","9596960.00","139.54","3705405.45","361.42"
"77","india","1184639000","3287590.00","360.34","1269345.07","933.27"
"183","united states of america","309975000","9629091.00","32.19","3717811.29","83.38"
"78","indonesia","234181400","1919440.00","122.01","741099.62","315.99"
"24","brazil","193364000","8511965.00","22.72","3286486.71","58.84"
"131","pakistan","170260000","803940.00","211.78","310402.84","548.51"
"14","bangladesh","164425000","144000.00","1141.84","55598.69","2957.35"
"128","nigeria","158259000","923768.00","171.32","356668.67","443.71"
"142","russia","141927297","17075200.00","8.31","6592768.87","21.53"
"85","japan","127380000","377835.00","337.13","145882.85","873.17"
"113","mexico","108396211","1972550.00","54.95","761605.50","142.33"
"137","phillipines","94013200","300000.00","313.38","115830.60","811.64"
"189","vietnam","85789573","329560.00","260.32","127243.78","674.21"
"65","germany","81757600","357021.00","229.00","137846.52","593.11"
"58","ethopia","79221000","1127127.00","70.29","435185.99","182.04"
"53","egypt","78848000","1001450.00","78.73","386661.85","203.92"
"79","iran","75078000","1648000.00","45.56","636296.10","117.99"
"176","turkey","72561312","780580.00","92.96","301383.50","240.76"
"39","congo (dem. rep. of )","67827000","2345410.00","28.92","905567.49","74.90"
"61","france","65447374","547030.00","119.64","211209.38","309.87"
"171","thailand","63525062","514000.00","123.59","198456.43","320.10"
"182","united kingdom (uk)","62041708","244820.00","253.42","94525.49","656.35"
"83","italy","60340328","301230.00","200.31","116305.51","518.81"
"120","myanmar","50496000","678500.00","74.42","261970.21","192.75"
"159","south africa","49991300","1219912.00","40.98","471010.46","106.14"
"91","korea (south)","49773145","98480.00","505.41","38023.32","1309.02"
"160","spain","46951532","504782.00","93.01","194897.34","240.90"
"180","ukraine","45871738","603700.00","75.98","233089.78","196.80"
"37","colombia","45569000","1138910.00","40.01","439735.43","103.63"
"170","tanzania","45040000","945087.00","47.66","364899.98","123.43"
"88","kenya","40863000","582650.00","70.13","224962.33","181.64"
"7","argentina","40518951","2766890.00","14.64","1068301.76","37.93"
"163","sudan","31894000","1886068.00","16.40","728215.12","42.40"
"138","poland","38167329","312685.00","122.06","120728.30","316.14"
"3","algeria","35423000","2381740.00","14.87","919594.58","38.52"
"31","canada","34207000","9976140.00","3.43","3851807.61","8.88"
"179","uganda","33796000","236040.00","143.18","91135.52","370.83"
"118","morocco","31892000","446550.00","71.42","172413.85","184.97"
"80","iraq","31467000","437072.00","72.00","168754.37","186.47"
"123","nepal","29853000","140800.00","212.02","54363.16","549.14"
"136","peru","29461933","1285220.00","22.92","496226.01","59.37"
"1","afghanistan","29117000","647500.00","44.97","250001.05","116.47"
"188","venezuela","28888000","912050.00","31.67","352144.33","82.03"
"106","malaysia","28306700","329750.00","85.84","127317.13","222.33"
"185","uzbekistan","27794000","447400","62.12","172742.03","160.90"
"149","saudi arabia","26246000","1960582.00","13.39","756984.63","34.67"
"66","ghana","24333000","239460.00","101.62","92455.98","263.18"
"190","yemen","24256000","527970.00","45.94","203850.27","118.99"
"90","korea (north)","23991000","120540.00","199.03","46540.74","515.48"
"119","mozambique","23406000","801590.00","29.20","309495.50","75.63"
"168","syria","22505000","185180.00","121.53","71498.37","314.76"
"9","australia","22421417","7686850.00","2.92","2967908.16","7.55"
"42","cote d'ivoire","21571000","322460.00","66.90","124502.45","173.26"
"141","romania","21466174","237500.00","90.38","91699.23","234.09"
"104","madagascar","21146000","587040.00","36.02","226657.32","93.30"
"161","sri lanka","20410000","65610.00","311.08","25332.15","805.70"
"30","cameroon","19958000","475440.00","41.98","183568.33","108.72"
"5","angola","18993000","1246700.00","15.23","481353.36","39.46"
"35","chile","17114000","756950.00","22.61","292259.91","58.56"
"124","netherlands","16609518","41526.00","399.98","16033.27","1035.94"
"27","burkina faso","16287000","274200.00","59.40","105869.17","153.84"
"87","kazakhstan","16197000","2717300.00","5.96","1049154.96","15.44"
"127","niger","15891000","1267000.00","12.54","489191.23","32.48"
"105","malawi","15692000","118480.00","132.44","45745.36","343.03"
"108","mali","14517176","1240000.00","11.71","478766.48","30.32"
"69","guatemala","14377000","108890.00","132.03","42042.65","341.96"
"52","ecuador","14228000","283560.00","50.18","109483.08","129.96"
"29","cambodia","13395682","181040.00","73.99","69899.91","191.64"
"191","zambia","13257000","752614.00","17.61","290585.77","45.62"
"150","senegal","12861000","196190.00","65.55","75749.35","169.78"
"192","zimbabwe","12644000","390580.00","32.37","150803.72","83.84"
"67","greece","11306183","131940.00","85.69","50942.30","221.94"
"34","chad","11274106","1284000.00","8.78","495754.97","22.74"
"44","cuba","11204000","110860.00","101.06","42803.27","261.76"
"17","belgium","10827519","30510.00","354.88","11779.97","919.15"
"139","portugal","10636888","92391.00","115.13","35672.35","298.18"
"46","czech republic","10512397","78866.00","133.29","30450.32","345.23"
"175","tunisia","10432500","163610.00","63.76","63170.15","165.15"
"70","guinea","10324000","245857.00","41.99","94925.88","108.76"
"143","rwanda","10277000","26338.00","390.20","10169.15","1010.61"
"50","dominican republic","10225000","48730.00","209.83","18814.75","543.46"
"73","haiti","10188000","27750.00","367.14","10714.33","950.88"
"21","bolivia","10031000","1098580.00","9.13","424163.94","23.65"
"75","hungary","10013628","93030.00","107.64","35919.07","278.78"
"151","serbia & montenegro","9856000","102350.00","96.30","39517.54","249.41"
"16","belarus","9471900","207600.00","45.63","80154.78","118.17"
"166","sweden","9366092","449964.00","20.82","173732.00","53.91"
"158","somalia","9359000","637657.00","14.68","246200.64","38.01"
"19","benin","9212000","112620.00","81.80","43482.81","211.85"
"11","azerbaijan","8997400","86600.00","103.90","33436.43","269.09"
"28","burundi","8519000","27830.00","306.11","10745.22","792.82"
"10","austria","8372930","83858.00","99.85","32377.74","258.60"
"167","switzerland","7782900","41290.00","188.49","15942.15","488.20"
"74","honduras","7616000","112090.00","67.95","43278.17","175.98"
"82","israel","7602400","20770.00","366.03","8019.34","948.01"
"26","bulgaria","7576751","110910.00","68.31","42822.57","176.93"
"169","tajikstan","7075000","143100.00","49.44","55251.20","128.05"
"134","papua new guinea","6888000","462840.00","14.88","178703.45","38.54"
"172","togo","6780000","56785.00","119.40","21924.80","309.24"
"99","libya","6546000","1759540.00","3.72","679361.91","9.64"
"86","jordan","6472000","92300.00","70.12","35637.21","181.61"
"135","paraguay","6460000","406750.00","15.88","157046.99","41.13"
"94","laos","6436000","236800.00","27.18","91428.95","70.39"
"54","el salvador","6194000","21040.00","294.39","8123.59","762.47"
"153","sierra leone","5836000","71740.00","81.35","27698.96","210.69"
"126","nicaragua","5822000","129494.00","44.96","49997.89","116.44"
"93","kyrgyzstan","5550000","198500.00","27.96","76641.25","72.42"
"47","denmark","5540241","43094.00","128.56","16638.68","332.97"
"155","slovakia","5426645","48845.00","111.10","18859.15","287.75"
"60","finland","5366100","337030.00","15.92","130127.96","41.24"
"56","eritrea","5224000","121320.00","43.06","46841.89","111.52"
"177","turkmenistan","5177000","488100.00","10.61","188456.39","27.47"
"154","singapore","4987600","693.00","7197.11","267.57","18640.45"
"129","norway","4896700","324220.00","15.10","125181.99","39.12"
"181","united arab emirates","4707000","82880.00","56.79","32000.13","147.09"
"41","costa rica","4640000","51100.00","90.80","19729.81","235.18"
"33","central african republic","4506000","622984.00","7.23","240535.37","18.73"
"81","ireland","4459300","70280.00","63.45","27135.25","164.34"
"64","georgia","4436000","69700.00","63.64","26911.31","164.84"
"43","croatia","4435056","56542.00","78.44","21830.98","203.15"
"125","new zealand","4383600","268680.00","16.32","103737.89","42.26"
"96","lebanon","4255000","10400.00","409.13","4015.46","1059.65"
"22","bosnia & herzegovina","3760000","51129.00","73.54","19741.01","190.47"
"40","congo (rep.)","3759000","342000.00","10.99","132046.88","28.47"
"115","moldova","3563800","33843.00","105.30","13066.85","272.74"
"98","liberia","3476608","111370.00","31.22","43000.18","80.85"
"184","uruguay","3372000","176200.00","19.14","68031.17","49.57"
"111","mauritania","3366000","1030700.00","3.27","397955.33","8.46"
"101","lithuania","3329227","65200.00","51.06","25173.85","132.25"
"133","panama","3322576","78200.00","42.49","30193.18","110.04"
"8","armenia","3238000","29800.00","108.66","11505.84","281.42"
"2","albania","3195000","28748.00","111.14","11099.66","287.85"
"92","kuwait","3051000","17820.00","171.21","6880.34","443.44"
"130","oman","2905000","212460.00","13.67","82031.23","35.41"
"117","mongolia","2768800","1565000.00","1.77","604249.63","4.58"
"84","jamaica","2730000","10991.00","248.39","4243.65","643.31"
"95","latvia","2237800","64589.00","34.65","24937.94","89.73"
"121","namibia","2212000","825418.00","2.68","318695.54","6.94"
"97","lesotho","2084000","30355.00","68.65","11720.13","177.81"
"156","slovenia","2062700","20273.00","101.75","7827.45","263.52"
"103","macedonia","2048620","25333.00","80.87","9781.12","209.45"
"23","botswana","1978000","600370.00","3.29","231804.06","8.53"
"63","gambia","1751000","11300.00","154.96","4362.95","401.33"
"140","qatar","1696563","11437.00","148.34","4415.85","384.20"
"71","guinea-bissau","1647000","36120.00","45.60","13946.00","118.10"
"62","gabon","1501000","267667.00","5.61","103346.76","14.52"
"174","trinidad & tobago","1344000","5128.00","262.09","1979.93","678.81"
"57","estonia","1340021","45226.00","29.63","17461.85","76.74"
"112","mauritius","1297000","2040.00","635.78","787.65","1646.67"
"165","swaziland","1202000","17363.00","69.23","6703.89","179.30"
"51","east timor","1171000","15007.00","78.03","5794.23","202.10"
"48","djibouti","879000","23000.00","38.22","8880.35","98.98"
"59","fiji","854000","18270.00","46.74","7054.08","121.06"
"13","bahrain","807000","665.00","1213.53","256.76","3143.04"
"45","cyprus","801851","9250.00","86.69","3571.44","224.52"
"72","guyana","761000","214970.00","3.54","83000.35","9.17"
"20","bhutan","708000","47000.00","15.06","18146.79","39.02"
"55","equatorial guinea","693000","28051.00","24.71","10830.55","63.99"
"38","comoros","691000","2170.00","318.43","837.84","824.74"
"157","solomon islands","536000","28450.00","18.84","10984.60","48.80"
"164","suriname","524000","163270.00","3.21","63038.87","8.31"
"32","cape verde","513000","4033.00","127.20","1557.15","329.45"
"102","luxembourg","502207","2586.00","194.20","998.46","502.98"
"109","malta","416333","316.00","1317.51","122.01","3412.34"
"25","brunei","407000","5770.00","70.54","2227.81","182.69"
"12","bahamas","346000","13940.00","24.82","5382.26","64.29"
"18","belize","322100","22966.00","14.03","8867.22","36.32"
"76","iceland","317900","103000.00","3.09","39768.51","7.99"
"107","maldives","314000","300.00","1046.67","115.83","2710.86"
"15","barbados","257000","431.00","596.29","166.41","1544.38"
"186","vanuatu","246000","12200.00","20.16","4710.44","52.22"
"146","samoa","179000","2944.00","60.80","1136.68","157.48"
"145","saint lucia","174000","616.00","282.47","237.84","731.59"
"148","sao tome & principe","165000","1001.00","164.84","386.49","426.92"
