"title","publisher","north america","europe","japan","cost","size"
"11eyes crossover","5pb.","NULL","NULL","2010-06-08june 8 2010","¥2940jp","4.78 gb"
"50 cent: blood on the sand","thq","2011-05-17may 17 2011","2011-05-17may 17 2011","NULL","$59.99us","6.36 gb"
"a-train hx","artdink","NULL","NULL","2009-12-16december 16 2009","¥3990jp","567.28 mb"
"absolute: blazing infinity","idea factory","NULL","NULL","2009-12-22december 22 2009","¥2940jp","2.13 gb"
"adrenalin misfits","konami","2011-08-09august 9 2011","NULL","NULL","$39.99us","3.29 gb"
"akatsuki no amaneka to aoi kyojin","cyberfront corporation","NULL","NULL","2011-06-28june 28 2011","¥2940jp","832.21 mb"
"alan wake","microsoft game studios","2010-11-23november 23 2010","2010-11-23november 23 2010","NULL","$29.99us","6.23 gb"
"alice: madness returns","electronic arts","2011-12-13december 13 2011","2011-12-13december 13 2011","NULL","$39.99us","5.41 gb"
"alone in the dark","atari","2011-02-22february 22 2011","2011-02-22february 22 2011","NULL","$19.99us","6.46 gb"
"apache: air assault","activision","2011-11-29november 29 2011","2011-11-29november 29 2011","NULL","$49.99us","1.4 gb"
"apocalypse: desire next","idea factory","NULL","NULL","2010-01-26january 26 2010","¥2940jp","4.12 gb"
"armored core 4","from software","NULL","NULL","2009-09-08september 8 2009","¥2600jp","6.04 gb"
"armored core: for answer","from software","NULL","NULL","2009-10-13october 13 2009","¥2600jp","5.88 gb"
"army of two","electronic arts","2009-10-20october 20 2009","2009-10-20october 20 2009","2010-03-02march 2 2010","$19.99us","5.01 gb"
"army of two: the 40th day","electronic arts","2010-12-07december 7 2010","2010-12-07december 7 2010","NULL","$19.99us","6.05 gb"
"ashes cricket 2009","codemasters","NULL","2011-07-26july 26 2011","NULL","£17.99uk","2 gb"
"assassin's creed","ubisoft","2009-08-06august 6 2009","2009-08-06august 6 2009","NULL","$19.99us","6.56 gb"
"assassin's creed ii","ubisoft","2010-09-28september 28 2010","2010-09-28september 28 2010","NULL","$19.99us","5.19 gb"
"assassin's creed: brotherhood","ubisoft","2011-06-07june 7 2011","2011-06-07june 7 2011","NULL","$39.99us","6.51 gb"
"avatar: the last airbender – the burning earth","thq","2010-03-23march 23 2010","NULL","NULL","$19.99us","5 gb"
"backbreaker","505 games","2012-01-03january 3 2012","2012-01-03january 3 2012","NULL","$19.99us","1 gb"
"backyard sports: rookie rush","atari","2011-11-15november 15 2011","NULL","NULL","$19.99us","1.07 gb"
"backyard sports: sandlot sluggers","atari","2011-11-01november 1 2011","NULL","NULL","$19.99us","698.87 mb"
"baja: edge of control","thq","2010-03-16march 16 2010","2010-04-06april 6 2010","NULL","$19.99us","4 gb"
"bakugan","activision","2011-10-18october 18 2011","2011-10-18october 18 2011","NULL","$39.99us","3.13 gb"
"banjo-kazooie: nuts &amp; bolts","microsoft game studios","2010-01-05january 5 2010","2010-01-05january 5 2010","2010-08-03august 3 2010","$19.99us","6 gb"
"batman: arkham asylum","eidos interactive","2010-08-03august 3 2010","2010-08-03august 3 2010","NULL","$29.99us","6.67 gb"
"battle fantasia","aksys games (na)arc system works (jp)","2010-10-05october 5 2010","NULL","2010-05-11may 11 2010","$19.99us","1.2 gb"
"battlefield: bad company","electronic arts","2009-08-11august 11 2009","2009-08-11august 11 2009","2009-08-11august 11 2009","$19.99us","4.92 gb"
"battlefield: bad company 2","electronic arts","2010-12-14december 14 2010","2010-12-14december 14 2010","2012-01-17january 17 2012","$19.99us","4.88 gb"
"battlefield 2: modern combat","electronic arts","2009-11-03november 3 2009","2010-05-25may 25 2010","2009-11-03november 3 2009","$19.99us","6 gb"
"battlestations: midway","eidos interactive","2010-05-25may 25 2010","2010-05-25may 25 2010","NULL","$19.99us","4.76 gb"
"battlestations: pacific","eidos interactive","2010-05-11may 11 2010","2010-05-11may 11 2010","NULL","$29.99us","4.91 gb"
"bayonetta","sega","2011-02-22february 22 2011","2011-02-22february 22 2011","2011-09-06september 6 2011","$19.99us","6.81 gb"
"beautiful katamari","namco bandai games","2010-02-16february 16 2010","2010-02-16february 16 2010","2009-12-01december 1 2009","$19.99us","3 gb"
"bee movie game","beenox","2010-06-22june 22 2010","2010-06-22june 22 2010","NULL","$19.99us","3 gb"
"{biggest loser: ultimate workout the|the biggest loser: ultimate workout}","thq","2011-05-31may 31 2011","2011-05-31may 31 2011","NULL","$29.99us","1.59 gb"
"{bigs 2 the|the bigs 2}","2k sports","2010-10-26october 26 2010","NULL","NULL","$29.99us","6.45 gb"
"bionic commando","capcom","2011-06-28june 28 2011","2011-06-28june 28 2011","NULL","$19.99us","6.54 gb"
"bioshock","2k games","2009-08-06august 6 2009","2009-08-06august 6 2009","NULL","$19.99us","4.66 gb"
"bioshock 2","2k games","2010-11-30november 30 2010","2010-11-30november 30 2010","NULL","$19.99us","6.41 gb"
"bladestorm: the hundred years' war","koei","2011-02-22february 22 2011","2011-06-07june 7 2011","2010-06-22june 22 2010","$34.99us","5.08 gb"
"blazing angels: squadrons of wwii","ubisoft","2010-12-14december 14 2010","2010-12-14december 14 2010","NULL","$19.99us","2.6 gb"
"blazing angels 2: secret missions of wwii","ubisoft","2010-10-05october 5 2010","2010-10-05october 5 2010","2010-04-13april 13 2010","$19.99us","6 gb"
"blazblue: calamity trigger","arc system works","2011-04-26april 26 2011","2011-04-26april 26 2011","2010-10-05october 5 2010","$19.99us","3.02 gb"
"blazblue: continuum shift","arc system works","2011-06-28june 28 2011","2011-06-28june 28 2011","NULL","$29.99us","6.06 gb"
"blood drive","activision","2011-10-25october 25 2011","2011-10-25october 25 2011","NULL","$49.99us","1.69 gb"
"blur","activision","2011-09-27september 27 2011","2011-09-27september 27 2011","NULL","$39.99us","5.35 gb"
"bomberman: act zero","hudson soft","2011-11-15november 15 2011","NULL","2009-11-10november 10 2009","$19.99us","388.86 mb"
"borderlands","2k games","2010-10-19october 19 2010","2010-10-19october 19 2010","NULL","$19.99us","3.30 gb"
"brave: a warrior's tale","evolved games","2010-01-19january 19 2010","NULL","NULL","$29.99us","2.08 gb"
"brothers in arms: hell's highway","ubisoft","2010-05-04may 4 2010","2010-05-04may 4 2010","NULL","$29.99us","5.03 gb"
"bullet soul","5pb.","NULL","NULL","2011-12-13december 13 2011","¥3990jp","1.25 gb"
"bulletstorm","electronic arts","2011-09-13september 13 2011","2011-09-13september 13 2011","NULL","$29.99us","4.85 gb"
"bullet witch","aq interactive","NULL","NULL","2009-08-11august 11 2009","¥2600jp","4.81 gb"
"bully: scholarship edition","rockstar games","2010-09-01september 1 2010","2010-09-01september 1 2010","NULL","$19.99us","2.96 gb"
"burnout paradise","electronic arts","2009-08-11august 11 2009","2009-08-11august 11 2009","NULL","$19.99us","2.81 gb"
"burnout revenge","electronic arts","2009-08-25august 25 2009","2009-08-25august 25 2009","2009-08-25august 25 2009","$19.99us","3.60 gb"
"cabela's african safari","activision value","2010-09-01september 1 2010","NULL","NULL","$19.99us","3.12 gb"
"cabela's alaskan adventures","activision value","2010-10-26october 26 2010","2010-10-19october 19 2010","NULL","$19.99us","2.80 gb"
"cabela's big game hunter","activision value","2010-11-16november 16 2010","NULL","NULL","$19.99us","3.1 gb"
"cabela's dangerous hunts 2009","activision","2011-01-04january 4 2011","NULL","NULL","$29.99us","3.22 gb"
"cabela's dangerous hunts 2011","activision","2011-09-13september 13 2011","2011-09-13september 13 2011","NULL","$39.99us","5.25 gb"
