"rank","title","year","director(s)","overallrank"
"1","singin' in the rain","1952","stanley donen and gene kelly","6"
"2","some like it hot","1959","billy wilder","10"
"3","dr. strangelove or: how i learned to stop worrying and love the bomb","1964","stanley kubrick","12"
"4","annie hall","1977","woody allen","25"
"5","the graduate","1967","mike nichols","39"
"6","the general","1926","clyde bruckman and buster keaton","45"
"7","bringing up baby","1938","howard hawks","52"
"8","duck soup","1933","leo mccarey","56"
"9","toy story","1995","john lasseter","64"
"10","city lights","1931","charles chaplin","68"
"11","it happened one night","1934","frank capra","69"
"12","the rules of the game","1939","jean renoir","70"
"13","his girl friday","1940","howard hawks","72"
"14","this is spinal tap","1984","rob reiner","78"
"15","forrest gump","1994","robert zemeckis","93"
"16","the gold rush","1925","charles chaplin","97"
"17","modern times","1936","charles chaplin","108"
"18","the philadelphia story","1940","george cukor","109"
"19","sullivan's travels","1941","preston sturges","125"
"20","the apartment","1960","billy wilder","127"
"21","m*a*s*h","1970","robert altman","128"
"22","groundhog day","1993","harold ramis","130"
"23","the princess bride","1987","rob reiner","132"
"24","monty python and the holy grail","1975","terry gilliam and terry jones","133"
"25","la dolce vita","1960","federico fellini","134"
"26","manhattan","1979","woody allen","135"
"27","the lady eve","1941","preston sturges","138"
"28","life of brian","1979","terry jones","147"
"29","a hard day's night","1964","richard lester","157"
"30","when harry met sally�","1989","rob reiner","167"
"31","kind hearts and coronets","1949","robert hamer","170"
"32","top hat","1935","mark sandrich","172"
"33","the big lebowski","1998","joel coen","173"
"34","airplane!","1980","jerry zucker jim abrahams and david zucker","175"
"35","am�lie","2001","jean-pierre jeunet","182"
"36","withnail & i","1987","bruce robinson","183"
"37","the producers","1968","mel brooks","184"
"38","cinema paradiso","1988","giuseppe tornatore","192"
"39","tootsie","1982","sydney pollack","197"
"40","american graffiti","1973","george lucas","198"
"41","breakfast at tiffany's","1961","blake edwards","203"
"42","blazing saddles","1974","mel brooks","224"
"43","ninotchka","1939","ernst lubitsch","229"
"44","shakespeare in love","1998","john madden","244"
"45","to be or not to be","1942","ernst lubitsch","248"
"46","mary poppins","1964","robert stevenson","252"
"47","a night at the opera","1935","sam wood","253"
"48","harold and maude","1971","hal ashby","256"
"49","young frankenstein","1974","mel brooks","260"
"50","sherlock jr.","1924","buster keaton","261"
"51","four weddings and a funeral","1994","mike newell","267"
"52","toy story 2","1999","john lasseter","268"
"53","the lion king","1994","roger allers and rob minkoff","270"
"54","the sting","1973","george roy hill","281"
"55","shrek","2001","andrew adamson and vicky jenson","284"
"56","rushmore","1998","wes anderson","286"
"57","the blues brothers","1980","john landis","293"
"58","ferris bueller's day off","1986","john hughes","295"
"59","pretty woman","1990","garry marshall","298"
"60","animal house","1978","john landis","299"
"61","roman holiday","1953","william wyler","300"
"62","the rocky horror picture show","1975","jim sharman","301"
"63","jerry maguire","1996","cameron crowe","304"
"64","trouble in paradise","1932","ernst lubitsch","305"
"65","mr. hulot's holiday","1953","jacques tati","311"
"66","the discreet charm of the bourgeoisie","1972","luis bu�uel","312"
"67","being john malkovich","1999","spike jonze","319"
"68","clerks.","1994","kevin smith","322"
"69","terms of endearment","1983","james l. brooks","330"
"70","the ladykillers","1955","alexander mackendrick","333"
"71","a fish called wanda","1988","charles crichton","334"
"72","bull durham","1988","ron shelton","344"
"73","the breakfast club","1985","john hughes","346"
"74","hannah and her sisters","1986","woody allen","354"
"75","adam's rib","1949","george cukor","358"
"76","evil dead ii","1987","sam raimi","359"
"77","amarcord","1973","federico fellini","365"
"78","the full monty","1997","peter cattaneo","366"
"79","who framed roger rabbit","1988","robert zemeckis","367"
"80","the great dictator","1940","charles chaplin","369"
"81","babe","1995","chris noonan","372"
"82","finding nemo","2003","andrew stanton","374"
"83","the lady vanishes","1938","alfred hitchcock","376"
"84","playtime","1967","jacques tati","378"
"85","the band wagon","1953","vincente minnelli","381"
"86","secrets & lies","1996","mike leigh","389"
"87","swing time","1936","george stevens","392"
"88","42nd street","1933","lloyd bacon","393"
"89","shaun of the dead","2004","edgar wright","394"
"90","austin powers: international man of mystery","1997","jay roach","401"
"91","the thin man","1934","w.s. van dyke","409"
"92","breaking away","1979","peter yates","413"
"93","day for night","1973","fran�ois truffaut","414"
"94","there's something about mary","1998","bobby and peter farrelly","420"
"95","fast times at ridgemont high","1982","amy heckerling","424"
"96","l'�ge d'or","1930","luis bu�uel","428"
"97","the bank dick","1940","edward f. cline","429"
"98","dazed and confused","1993","richard linklater","433"
"99","tom jones","1963","tony richardson","435"
"100","the palm beach story","1942","preston sturges","437"
