"title","director(s)","released","rating","view date","amazon"
"127 hours","danny boyle","2010","NULL","2011-08-06","buy it"
"28 days later","danny boyle","2002","NULL","2008-11-08","buy it"
"28 weeks later","juan carlos fresnadillo","2007","NULL","2010-03-13","buy it"
"the 39 steps","alfred hitchcock","1935","NULL","2011-01-08","buy it"
"3:10 to yuma","james mangold","2007","NULL","2008-01-16","buy it"
"adaptation","spike jonze","2003","NULL","2003-06-22","buy it"
"air force one","wolfgang petersen","1997","NULL","unknown","buy it"
"alice in wonderland","tim burton","2010","NULL","2010-03-20","n/a"
"along came polly","john hamburg","2004","NULL","2006-06-20","buy it"
"american beauty","sam mendes","1999","NULL","unknown","buy it"
"american gangster","ridley scott","2007","NULL","2007-11-17","buy it"
"american pie","paul weitz","1999","NULL","unknown","buy it"
"american pie 2","james b. rogers","2001","NULL","2001-09-02","buy it"
"american psycho","mary harron","2000","NULL","2007-08-30","buy it"
"anchorman: the legend of ron burgundy","adam mckay","2004","NULL","2004-07-09","buy it"
"andersonville","john frankenheimer","1996","NULL","unknown","buy it"
"angels &amp; demons","ron howard","2009","NULL","2010-03-26","buy it"
"annie hall","woody allen","1977","NULL","2010-01-01","buy it"
"apocalypse now redux","francis ford coppola","1979","NULL","2006-12-23","buy it"
"the aristocrats","paul provenza","2005","NULL","2006-05-25","buy it"
"armageddon","michael bay","1998","NULL","unknown","buy it"
"army of darkness","sam raimi","1992","NULL","2007-04-06","buy it"
"army of shadows","jean-pierre melville","1969","NULL","2009-09-26","buy it"
"artificial intelligence: ai","steven spielberg","2001","NULL","2001-07-10","buy it"
"the artist","michel hazanavicius","2011","NULL","2012-01-22","n/a"
"the assassination of jesse james by the coward robert ford","andrew dominik","2007","NULL","2008-11-11","buy it"
"atomic train","david jackson dick lowry","2000","NULL","unknown","buy it"
"atonement","joe wright","2007","NULL","2007-12-13","buy it"
"avatar","james cameron","2009","NULL","2010-01-09","n/a"
"the aviator","martin scorsese","2004","NULL","2004-12-30","buy it"
"away we go","sam mendes","2009","NULL","2010-09-15","buy it"
"baby mama","michael mccullers","2008","NULL","2008-04-25","buy it"
"back to the future","robert zemeckis","1985","NULL","unknown","buy it"
"back to the future part ii","robert zemeckis","1989","NULL","unknown","buy it"
"back to the future part iii","robert zemeckis","1990","NULL","unknown","buy it"
"barton fink","joel coen ethan coen","1991","NULL","2009-11-21","buy it"
"batman begins","christopher nolan","2005","NULL","2005-12-02","buy it"
"battle royale","kinji fukasaku","2000","NULL","2007-11-24","buy it"
"the beach","danny boyle","2000","NULL","unknown","buy it"
"bee movie","steve hickner simon j. smith","2007","NULL","2007-10-30","buy it"
"beerfest","jay chandrasekhar","2006","NULL","2007-09-06","buy it"
"being john malkovich","spike jonze","1999","NULL","unknown","buy it"
"best in show","christopher guest","2000","NULL","2007-12-08","buy it"
"the big country","william wyler","1958","NULL","2008-09-06","buy it"
"big fan","robert d. siegel","2009","NULL","2011-02-27","buy it"
"big fish","tim burton","2003","NULL","unknown","buy it"
"the big lebowski","joel coen","1998","NULL","2009-06-20","buy it"
"big trouble","barry sonnenfeld","2002","NULL","2007-05-19","buy it"
"black hawk down","ridley scott","2001","NULL","2009-11-27","buy it"
"black swan","darren aronofsky","2010","NULL","2011-06-11","buy it"
"blade runner","ridley scott","1982","NULL","2009-04-12","buy it"
"blades of glory","josh gordon will speck","2007","NULL","2007-04-07","buy it"
"blow","ted demme","2001","NULL","2005-04-16","buy it"
"boogie nights","paul thomas anderson","1997","NULL","unknown","buy it"
"the boondock saints","troy duffy","1999","NULL","2006-05-22","buy it"
"borat: cultural learnings of america for make benefit glorious nation of kazakhstan","larry charles","2006","NULL","2006-12-02","buy it"
"the bourne identity","doug liman","2002","NULL","unknown","buy it"
"the bourne supremacy","paul greengrass","2004","NULL","2007-08-11","buy it"
"the bourne ultimatum","paul greengrass","2007","NULL","2007-08-18","buy it"
"bowling for columbine","michael moore","2002","NULL","2007-06-02","buy it"
"the boys of baraka","heidi ewing rachel grady","2005","NULL","2008-06-20","buy it"
"bride wars","gary winick","2009","NULL","2009-06-19","buy it"
"brokeback mountain","ang lee","2005","NULL","2008-07-25","buy it"
"a bronx tale","robert de niro","1993","NULL","2007-02-10","buy it"
"burn after reading","ethan coen joel coen","2008","NULL","2008-09-11","buy it"
"capote","bennett miller","2005","NULL","2006-08-16","buy it"
"casablanca","michael curtiz","1942","NULL","2006-01-27","buy it"
"casino","martin scorsese","1995","NULL","2006-03-17","buy it"
"casino royale","martin campbell","2006","NULL","2007-04-27","buy it"
"catch me if you can","steven spielberg","2002","NULL","2002-12-29","buy it"
"charlie and the chocolate factory","tim burton","2005","NULL","2005-07-16","buy it"
"charlie bartlett","jon poll","2007","NULL","2008-07-05","buy it"
"charlie wilson&#039;s war","mike nichols","2007","NULL","2008-06-07","buy it"
"charlie&#039;s angels","joseph mcginty nichol","2000","NULL","2007-08-12","buy it"
"children of men","alfonso cuarón","2006","NULL","2010-06-07","buy it"
"chocolat","lasse hallström","2000","NULL","2009-03-15","buy it"
"cinderella man","ron howard","2005","NULL","2005-06-04","buy it"
"citizen kane","orson welles","1941","NULL","2006-10-21","buy it"
"class","lewis john carlino","1983","NULL","2007-05-12","buy it"
"clerks.","kevin smith","1994","NULL","2007-11-11","buy it"
"click","frank coraci","2006","NULL","2008-12-26","buy it"
"a clockwork orange","stanley kubrick","1971","NULL","unknown","buy it"
"closer","mike nichols","2004","NULL","2005-06-25","buy it"
"cold mountain","anthony minghella","2003","NULL","2004-01-18","buy it"
"collateral","michael mann","2004","NULL","2004-08-20","buy it"
"corpse bride","tim burton","2005","NULL","unknown","buy it"
"crash","paul haggis","2004","NULL","2006-01-07","buy it"
"crazy heart","scott cooper","2009","NULL","2010-07-20","buy it"
"crouching tiger hidden dragon","ang lee","2000","NULL","2001-03-16","buy it"
"the curious case of benjamin button","david fincher","2008","NULL","2008-12-17","buy it"
"dan in real life","peter hedges","2007","NULL","2008-03-15","buy it"
"the dark knight","christopher nolan","2008","NULL","2008-07-26","buy it"
"das boot","wolfgang petersen","1981","NULL","2007-08-02","buy it"
"the day after tomorrow","roland emmerich","2004","NULL","2005-05-31","buy it"
"dazed and confused","richard linklater","1993","NULL","2005-09-19","buy it"
"death race","paul w.s. anderson","2008","NULL","2011-08-01","buy it"
"the departed","martin scorsese","2006","NULL","2006-10-07","buy it"
"the devil wears prada","david frankel","2006","NULL","2007-07-07","buy it"
"dick","andrew fleming","1999","NULL","2006-08-06","buy it"
"district 9","neill blomkamp","2009","NULL","2010-01-16","buy it"
"donnie darko","richard kelly","2001","NULL","2006-07-29","buy it"
"doubt","john patrick shanley","2008","NULL","2010-01-01","buy it"
"down periscope","david s. ward","1996","NULL","unknown","buy it"
"downfall","oliver hirschbiegel","2004","NULL","2011-02-19","buy it"
"dr. strangelove or: how i learned to stop worrying and love the bomb","stanley kubrick","1964","NULL","2006-02-11","buy it"
"dreamgirls","bill condon","2006","NULL","2007-12-14","buy it"
"drive","nicolas winding refn","2011","NULL","2012-02-25","buy it"
"duplex","danny devito","2003","NULL","2007-09-02","buy it"
"ed wood","tim burton","1994","NULL","2009-03-28","buy it"
"edward scissorhands","tim burton","1990","NULL","2007-07-31","buy it"
"enchanted","kevin lima","2007","NULL","2008-03-30","buy it"
"enron: the smartest guys in the room","alex gibney","2005","NULL","2006-09-02","buy it"
"eternal sunshine of the spotless mind","michel gondry","2004","NULL","unknown","buy it"
"exit through the gift shop","banksy","2010","NULL","2011-03-11","buy it"
"eyes wide shut","stanley kubrick","1999","NULL","2006-04-23","buy it"
"fargo","joel coen ethan coen","1996","NULL","2006-12-01","buy it"
"fear and loathing in las vegas","terry gilliam","1998","NULL","2009-03-21","buy it"
"fever pitch","bobby farrelly peter farrelly","2005","NULL","2009-06-21","buy it"
"fight club","david fincher","1999","NULL","unknown","buy it"
"finding nemo","andrew stanton lee unkrich","2003","NULL","unknown","buy it"
"finding neverland","marc forster","2004","NULL","2005-07-30","buy it"
"fletch","michael ritchie","1985","NULL","2009-10-19","buy it"
"flightplan","robert schwentke","2005","NULL","2006-06-16","buy it"
"the fog of war: eleven lessons from the life of robert s. mcnamara","errol morris","2003","NULL","2009-04-16","buy it"
"following","christopher nolan","1998","NULL","2010-05-30","buy it"
"forgetting sarah marshall","nicholas stoller","2008","NULL","2010-07-16","buy it"
"frost/nixon","ron howard","2008","NULL","2009-06-12","buy it"
"full metal jacket","stanley kubrick","1987","NULL","unknown","buy it"
"gasland","josh fox","2010","NULL","2011-04-17","buy it"
