"fell name","height (m)  ","height (ft)  ","appears in"
"scafell pike","978","3209","the southern fells"
"scafell","964","3163","the southern fells"
"helvellyn","950","3117","the eastern fells"
"skiddaw","931","3054","the northern fells"
"great end","910","2986","the southern fells"
"bowfell","902","2959","the southern fells"
"great gable","899","2949","the western fells"
"pillar","892","2927","the western fells"
"nethermost    pike","891","2923","the eastern fells"
"catstye cam","890","2920","the eastern fells"
"esk pike","885","2904","the southern fells"
"raise","883","2897","the eastern fells"
"fairfield","873","2864","the eastern fells"
"blencathra -    hallsfell top","868","2848","the northern fells"
"skiddaw    little man","865","2838","the northern fells"
"white side","863","2831","the eastern fells"
"crinkle crags    - long top","859","2818","the southern fells"
"dollywaggon    pike","858","2815","the eastern fells"
"great dodd","857","2812","the eastern fells"
"grasmoor","852","2795","the north western    fells"
"stybarrow    dodd","843","2766","the eastern fells"
"st sunday    crag","841","2759","the eastern fells"
"scoat fell","841","2759","the western fells"
"crag hill    [eel crag]","839","2753","the north western    fells"
"high street","828","2717","the far eastern fells"
"red pike    (wasdale)","826","2710","the western fells"
"hart crag","822","2697","the eastern fells"
"steeple","819","2687","the western fells"
"lingmell","807","2648","the southern fells"
"high stile","806","2644","the western fells"
"the old man    of coniston","803","2635","the southern fells"
"high raise    (high street)","802","2631","the far eastern fells"
"swirl how","802","2631","the southern fells"
"kirk fell","802","2631","the western fells"
"green gable","801","2628","the western fells"
"haycock","797","2615","the western fells"
"brim fell","796","2612","the southern fells"
"dove crag","792","2598","the eastern fells"
"rampsgill    head","792","2598","the far eastern fells"
"grisedale    pike","791","2595","the north western    fells"
"watson's dodd","789","2589","the eastern fells"
"allen crags","785","2575","the southern fells"
"great carrs","785","2575","the southern fells"
"thornthwaite    crag","784","2572","the far eastern fells"
"glaramara","783","2569","the southern fells"
"kidsty pike","780","2559","the far eastern fells"
"harter fell    (mardale)","778","2552","the far eastern fells"
"dow crag","778","2552","the southern fells"
"red screes","776","2546","the eastern fells"
"sail","773","2536","the north western    fells"
"grey friar","773","2536","the southern fells"
"wandope","772","2533","the north western    fells"
"hopegill head","770","2526","the north western    fells"
"great rigg","766","2513","the eastern fells"
"stony cove    pike [caudale moor]","763","2503","the far eastern fells"
"wetherlam","763","2503","the southern fells"
"high raise","762","2500","the central fells"
"slight side","762","2500","the southern fells"
"mardale ill    bell","760","2493","the far eastern fells"
"ill bell","757","2484","the far eastern fells"
"hart side","756","2480","the eastern fells"
"red pike    (buttermere)","755","2477","the western fells"
"dale head","753","2470","the north western    fells"
"carl side","746","2448","the northern fells"
