"rk"," ","yrs","from","to","age"," "
"1","ty cobb","17","1907","1927","20-40","ind. seasons"
"2","derek jeter","15","1996","2011","22-37","ind. seasons"
"3","paul waner","12","1927","1938","24-35","ind. seasons"
"4","sam rice","12","1917","1930","27-40","ind. seasons"
"5","eddie collins","12","1910","1924","23-37","ind. seasons"
"6","sam crawford","12","1902","1915","22-35","ind. seasons"
"7","roberto clemente","11","1956","1971","21-36","ind. seasons"
"8","pie traynor","11","1922","1933","23-34","ind. seasons"
"9","george sisler","11","1916","1929","23-36","ind. seasons"
"10","tris speaker","11","1909","1927","21-39","ind. seasons"
"11","steve garvey","10","1974","1985","25-36","ind. seasons"
"12","pete rose","9","1965","1980","24-39","ind. seasons"
"13","heinie manush","9","1926","1934","24-32","ind. seasons"
"14","joe sewell","9","1921","1929","22-30","ind. seasons"
"15","michael young","8","2003","2011","26-34","ind. seasons"
"16","kirby puckett","8","1985","1993","25-33","ind. seasons"
"17","arky vaughan","8","1932","1943","20-31","ind. seasons"
"18","charlie gehringer","8","1928","1937","25-34","ind. seasons"
"19","bill terry","8","1927","1935","28-36","ind. seasons"
"20","al simmons","8","1924","1936","22-34","ind. seasons"
"21","frankie frisch","8","1921","1934","22-35","ind. seasons"
"22","harry heilmann","8","1920","1928","25-33","ind. seasons"
"23","rogers hornsby","8","1917","1929","21-33","ind. seasons"
"24","edd roush","8","1915","1926","22-33","ind. seasons"
"25","zack wheat","8","1914","1925","26-37","ind. seasons"
"26","stuffy mcinnis","8","1912","1923","21-32","ind. seasons"
"27","honus wagner","8","1901","1910","27-36","ind. seasons"
"28","roberto alomar","7","1990","2001","22-33","ind. seasons"
"29","don mattingly","7","1984","1992","23-31","ind. seasons"
"30","tony gwynn","7","1984","1997","24-37","ind. seasons"
"31","johnny ray","7","1982","1989","25-32","ind. seasons"
"32","paul molitor","7","1979","1996","22-39","ind. seasons"
"33","keith hernandez","7","1979","1987","25-33","ind. seasons"
"34","al oliver","7","1972","1983","25-36","ind. seasons"
"35","billy williams","7","1962","1973","24-35","ind. seasons"
"36","willie davis","7","1962","1974","22-34","ind. seasons"
"37","vada pinson","7","1959","1967","20-28","ind. seasons"
"38","ken boyer","7","1956","1964","25-33","ind. seasons"
"39","stan musial","7","1943","1952","22-31","ind. seasons"
"40","joe medwick","7","1934","1944","22-32","ind. seasons"
"41","kiki cuyler","7","1925","1936","26-37","ind. seasons"
"42","goose goslin","7","1923","1935","22-34","ind. seasons"
"43","bobby veach","7","1915","1922","27-34","ind. seasons"
"44","shoeless joe jackson","7","1911","1920","23-32","ind. seasons"
"45","nap lajoie","7","1901","1913","26-38","ind. seasons"
