"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"Devagiri hill","46305421","668589759","http://www.oddistricts.nic.in/district_home.php?did=rgd//"
"Massif des Trois-Évêchés","46219477","654934579","http://www.vallouimages.com/haute-provence/tete-de-lestrop.htm"
"Mount Pierrway","46652731","661638624","http://www.env.gov.bc.ca/bcparks/explore/parkpgs/wells_gry"
"Munboksan","45668119","651387167",""
"Spirit Lake (Price County, Wisconsin)","46327538","655315952","http://www.travelwisconsin.com/campgrounds/spirit-lake-campground-200607"
"Swabian-Franconian Forest","47713093","680133663","http://www.naturpark-sfw.de/"
"Teufelsmühle (Schwarzwald)","46775683","670775640",""
"Cave of the Lakes","47437290","675803746","http://www.kastriacave.gr/"
"Jaskinia Niedźwiedzia (Sudety)","47277438","680013579","http://jaskinia.pl/jaskinia/en/index.php"
"Mount Hereford","47247481","671595876","http://www.forethereford.org/"
"Cueva de Ajshtyr","47432021","677116262","http://sochived.info/chernomorskaya-zdravnitsa-160-ot-14-avgusta-1963-g/"
"Arkaliospilio","47429630","674667500",""
"Ash Hole Cavern","47496043","676343854",""
"Bila river (Bosnia)","47920768","682611826",""
"Boxhead Pot","47262371","672742121","http://www.cncc.org.uk/leck_fell.html"
"Cave of Zeus, Aydın","47276981","672226975",""
"Death's Head Hole","47246113","683611814","http://www.cncc.org.uk/leck_fell.html"
"Dervent Heights","47436025","674653443",""
"","","",""
"Doxa (Cave)","47429073","675803739",""
