"page","label","Wikipage page ID","Wikipage revision ID","majority","reporter-volume","Fullname","reporter"
"358","American Fur Co. v. United States","47400125","674321565","Washington","2","Sundry Goods, Wares & Merchandises, American Fur Co. v. United States","Pet."
"","Arizona State Legislature v. Arizona Independent Redistricting Commission","47144587","677216532","","","",""
"","California v. Hodari D.","47324820","679190710","","","",""
"","In re Kansas Indians","47413114","674486835","Davis","","The Kansas Indians",""
"","Lucas v. United States","47435169","674800978","Shiras","","Lucas v. United States",""
"","Rodriguez v. United States","47142323","680569564","","","",""
"","Tarble's Case","47256244","675194789","Field","","Tarble's Case",""
"","Texas Dept. of Hous. and Cmty. Affairs v. Inclusive Communities Project, Inc.","47162540","676463603","","","",""
"","Two Pesos, Inc. v. Taco Cabana, Inc.","47207674","679198011","White","","Two Pesos, Inc., Petitioner v. Taco Cabana, Inc.",""
"","United States v. Antelope","47267431","676038105","","","United States v. Antelope, et al.",""
"","United States v. Philadelphia Nat'l Bank","47397450","675668878","","","",""
"","Walker Process Equipment, Inc. v. Food Machinery & Chemical Corp.","47511544","680416817","","","Walker Process Equipment, Inc. v. Food Machinery & Chemical Corp.",""
"","Board of Education of the Hendrick Hudson Central School District v. Rowley","","","","","",""
"","Breithaupt v. Abram","47111841","682909631","","","",""
"","Burlington Industries, Inc. v. Ellerth","47740549","683754565","","","",""
"","Connally v. General Construction Co.","47760786","681574999","Sutherland","","Connally, et. al. v. General Construction Co.",""
"","Hallinger v. Davis","47721607","683303265","","","Hallinger v. Davis",""
"","J. W. Hampton, Jr. & Co. v. United States","47636640","680103540","","","J. W. Hampton, Jr. & Company v. United States",""
"","Jesinoski v. Countrywide Home Loans, Inc.","47129899","679297745","","","",""
"","Johnson v. United States (2015)","47090698","678994440","","","",""
