"label","Sterbedatum","Geburtsdatum"
"Sir Charles Tynte, 5th Baronet","1785","1710"
"Sir William Brabazon, 2nd Baronet","1840-10-24",""
"Henry Lumley, Viscount Lumley","1710",""
"Puleston baronets","",""
"Sir George Agnew, 7th Baronet","",""
"Sir Rowland Alston, 4th Baronet","1759-01-02","1679-09-06"
"Sir Walter Nugent, 4th Baronet","1955-11-12","1865-12-12"
"Sir Alfred Hickman, 1st Baronet","1910-03-11","1830-07-03"
"Sir Andrew Porter, 1st Baronet","1919-01-09","1837-06-27"
"Sir Charles Asgill, 1st Baronet","1788-09-15","1713-03-17"
"Sir John Carmichael-Anstruther, 5th Baronet","1818-01-28","1785-06-01"
"Sir John Lowther, 2nd Baronet, of Swillington","1868-06-23","1793-03-23"
"Sir William Barber, 1st Baronet","1927-07-02","1860-11-09"
"Sir William Lowther, 1st Baronet, of Little Preston","1788-06-15","1707-07-10"
"Sir William Lowther, 1st Baronet, of Marske","1705-04-06","1676-01-04"
"Archibald Acheson, 1st Viscount Gosford","1790-09-05","1718-09-01"
"Sir Alexander Baird, 1st Baronet","1920-06-20","1849-10-22"
"Sir David Cunningham, 1st Baronet, of Robertland","",""
"Sir Frederick Wills, 1st Baronet","1909-02-18","1838-11-22"
"سير هنري تشامبرلين","1829-07-31",""
