"label","Geburtsdatum"
"David McDonnell","1971-10-11"
"David McLellan (snooker player)","1970-01-10"
"Dessie Sheehan","1949-09-03"
"Frank Jonik","1957-12-02"
"Franky Chan","1965-03-17"
"Gary Ponting","1975-01-17"
"Geoff Foulds","1939-11-20"
"Graham Horne","1971-06-10"
"Habib Subah",""
"Ian Brumby","1964-09-17"
"James Leadbetter","1980-12-23"
"Jamie Rhys Clarke",""
"Jimmy van Rensberg","1931-10-24"
"John Giles (snooker player)","1969-07-24"
"Ken Owers","1953-03-30"
"Kristján Helgason","1974"
"Kwan Poomjang","1975-01-02"
"Martin Dziewialtowski","1972-12-23"
"Maurice Parkin",""
"Mick Fisher","1944-07-12"
