"year","Wikipage revision ID","series","label","Wikipage page ID","Link from a Wikipage to an external page"
"2015","680036650","Middle East Rally Championship","2015 Middle East Rally Championship","45697371","http://www.merc-fia.com/"
"","667116606","NACAM Rally Championship","2015 NACAM Rally Championship","45697606","http://www.nacamrally.com/"
"2015","683149035","Porsche Carrera Cup Italy","2015 Porsche Carrera Cup Italy","46808958",""
"","683146350","","2015 Renault Sport Trophy season","46491625","http://www.renault-sport.com/en/"
"","683274083","Scandinavian Touring Car Championship","STCC 2015","46582575","http://www.stcc.se/"
"2015","682376098","TCR Portuguese Series","2015 TCR Portuguese Series season","45706559",""
"2015","683790814","TCR Russian Series","2015 TCR Russian Series season","46296461",""
"2016","682611398","Blancpain Endurance Series","2016 Blancpain Endurance Series season","47871442","http://www.blancpain-gt-series.com/"
"2016","683052684","Blancpain GT Series","2016 Blancpain GT Series season","47922389","http://www.blancpain-gt-series.com/"
"2016","682611447","Blancpain Sprint Series","2016 Blancpain Sprint Series season","47871441","http://www.blancpain-gt-series.com"
"2016","683825853","British Touring Car Championship","2016 British Touring Car Championship season","47354085","http://www.touringcartimes.com/"
"2016","679691097","Eurocup Formula Renault 2.0","2016 Eurocup Formula Renault 2.0 season","47734547","http://www.renault-sport.com/en/"
"2016","679696442","European Le Mans Series","2016 European Le Mans Series season","47734801",""
"2016","683633526","FIA World Endurance Championship","2016 FIA World Endurance Championship season","47874888","http://www.fiawec.com"
"2016","683607722","Formula 3.5 Series","2016 Formula 3.5 Series season","47980038","http://www.alesport.com/"
"2016","683831115","GP3 Series","2016 GP3 Series season","48015007","http://www.gp3series.com/"
"2016","679694778","Renault Sport Trophy","2016 Renault Sport Trophy season","47734716","http://www.renault-sport.com/en/"
"2004","650540206","Superstars Series","Superstars Series 2004","45448271","http://www.eurosuperstars.com/"
"2010","676497422","Porsche Carrera Cup Italy","2010 Porsche Carrera Cup Italy","47548576",""
"2010","677929903","International GTSprint Series","2010 Superstars GTSprint Series season","47155376","http://www.eurosuperstars.com/"
