"Wikipage revision ID","label","Wikipage page ID"
"654855925","Colchuck Glacier","38697299"
"","Coleman Glacier (Washington)",""
"631918248","Colonial Glacier","38845385"
"","Columbia Glacier (Alaska)",""
"","Columbia Glacier (Washington)",""
"643142673","Company Glacier","39105408"
"","Conness Glacier",""
"","Connie Glacier",""
"","Conrad Glacier",""
"632030016","Continental Glacier","180470"
"607419581","Cool Glacier","37679664"
"","Crescent Glacier (Alaska)",""
"","Crescent Glacier (Mount Adams)",""
"642993740","Crook Glacier","36422450"
"631854590","Crystal Glacier","39169939"
"548369872","Dall Glacier","38956470"
"643142797","Dana Glacier (Washington)","38773870"
"631919733","Dark Glacier","39105615"
"","Dartmouth Glacier",""
"","Darwin Glacier (California)",""
