"Wikipage revision ID","label","Wikipage page ID"
"673815479","Rainbow Saver Anglia Credit Union","45324714"
"","Services & Advocacy for GLBT Elders",""
"","Society for Conservation Biology",""
"574661373","Society for Industrial Microbiology and Biotechnology","39235503"
"","Stony Brook-Millstone Watershed Association","43851158"
"","Susan B. Anthony List",""
"","The Document Foundation",""
"679531915","The Tor Project, Inc","43283728"
"623703450","Town and Country Planning Association","1155923"
"","Transportation Alternatives",""
"682283842","Type Directors Club","2529397"
"","Vanguard Public Foundation",""
"","Alkarama",""
"","American Institute for Stuttering",""
"","Business for Scotland",""
"","Cameroonian American Chamber of Commerce","45285345"
"","Центр информации по правам человека",""
"","National Programme on Technology Enhanced Learning",""
"","Solar Electric Light Fund",""
"","Stop Huntingdon Animal Cruelty",""
