"label","Wikipage page ID","Wikipage revision ID"
"Lüneberg cheese","5688966","580824960"
"Redykołka","36561771","583849168"
"Wrekin White","24193809","545716075"
"Red Hawk cheese","8295179","640380292"
"Beacon Fell","41106241","591307236"
"Primost","12138169","544856253"
"St Tola","",""
"Whitestone Cheese","4386490","567528322"
"Couronne Lochoise","12192597","544861340"
"Reindeer cheese","37256205","675971975"
"Saint-Marcellin","",""
"Sardo","",""
"Béal Organic Cheese","",""
"Gleann Gabhra","",""
"Y Fenni cheese","",""
"Kwaito cheese","1702144","672412998"
"Prästost","4405129","544319358"
"Cabécou","",""
"Fine Fettle Yorkshire","",""
"Herve cheese","",""
