"Geburtsort","birth place","label","Geburtsdatum"
"http://dbpedia.org/resource/Camagüey","http://dbpedia.org/resource/Camagüey","Jorge Gutiérrez (boxer)","1975-09-18"
"","","Kenneth Gould",""
"","","Marios Kaperonis",""
"","","Petar Lesov",""
"","","Otis Grant",""
"","","Osmay Acosta",""
"","","Abdelaziz Touilbini",""
"","","عبد الحفيظ بن شبلة",""
"","","Olexandr Stretskyy",""
"","","Diwakar Prasad",""
"http://dbpedia.org/resource/Majagua,_Cuba","http://dbpedia.org/resource/Majagua,_Cuba","Armando Martínez (boxer)",""
"","","Kim Won-il (boxer)","1982-01-03"
"http://dbpedia.org/resource/Newport,_Wales","Newport, Wales","Lauren Price","1994-06-25"
"","","Pichai Sayotha",""
"","","Andreas Zülow",""
"","","Luis Román Rolón",""
"","","Maksym Tretyak",""
"","","Robert Carmody",""
"","","Angus Shelford",""
"","","Billy Ward (Boxer)",""
