"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID","after"
"Sony Xperia Z5","http://www.sonymobile.com/global-en/products/phones/xperia-z5/","47700081","683382183","Latest Model"
"Sony Xperia Z5 Compact","http://www.sonymobile.com/global-en/products/phones/xperia-z5-compact/","47700835","682722989","Latest Model"
"Sony Xperia Z5 Premium","http://www.sonymobile.com/global-en/products/phones/xperia-z5-premium/","47700270","683145135",""
"TrueNAS","https://www.ixsystems.com/truenas","46810872","683329593",""
"VoCore","http://vocore.io","46199767","679676910",""
"Walther LG400 (16J)","http://www.carl-walther.de/","46234301","681046445",""
"瓦爾特PPX手槍","http://www.carl-walther.de/cw.php?lang=en&content=products&sub=2&subsub=22&product=1873","46466989","677560973",""
"ZUK Z1","http://www.zuk.com/","47952578","683914792","ZUK Z2"
"BQ Aquaris E4.5","http://www.bq.com/gb/aquaris-e-4-5","47048327","682705074","http://dbpedia.org/resource/BQ_Aquaris_E5"
"BQ Aquaris E5","http://www.bq.com/gb/aquaris-e5","47049424","682704850",""
"IPod touch (6 поколения)","http://www.apple.com/ipod-touch/","47246115","683747719","Incumbent"
"富可視 M330","http://www.infocusphone.com/","47218749","683929731",""
"LGV31","http://www.lg.com/jp/mobile-phone/lg-LGV31","47210876","670955602",""
"任天堂3DS家系","http://www.nintendo.co.jp/3ds/index.html","45443161","683496609",""
"Nokia 105","http://www.microsoft.com/en/mobile/phone/105/","47049746","680823391",""
"Pebble Time","http://www.getpebble.com/","45495529","683568517",""
"Samsung Galaxy A8","http://www.samsung.com/galaxya/a8/","47498291","683367459",""
"Samsung Galaxy Core2","http://www.samsung.com/in/consumer/mobile-devices/smartphones/others/SM-G355HZKDINU/","47478912","679612629",""
"Samsung Galaxy J5","http://www.samsung.com/in/consumer/mobile-devices/smartphones/galaxy-j/SM-J500FZWDINS/","47517673","683018600",""
"Samsung Galaxy Note 5","http://www.samsung.com/global/galaxy/galaxy-note5/","47515964","683204164",""
