"Wikipage revision ID","ballpark","current league","season","Wikipage page ID","label","Link from a Wikipage to an external page","owners","city"
"679272826","http://dbpedia.org/resource/Jefferson_Street_Grounds","American Association American Association","1891","15705974","1891 Philadelphia Athletics season","http://www.baseball-reference.com/teams/PHA/1891.shtml","http://dbpedia.org/resource/J._Earl_Wagner","http://dbpedia.org/resource/Philadelphia"
"679273011","http://dbpedia.org/resource/Boundary_Field","American Association American Association","1891","15707148","1891 Washington Statesmen season","http://www.baseball-reference.com/teams/WAS/1891.shtml","","http://dbpedia.org/resource/Washington,_D.C."
"678390940","http://dbpedia.org/resource/League_Park","National League","","15703039","1892 Cleveland Spiders season","http://www.baseball-reference.com/teams/CLV/1892.shtml","","http://dbpedia.org/resource/Cleveland"
"678391197","http://dbpedia.org/resource/Boundary_Field","National League","","15707713","1892 Washington Senators season","http://www.baseball-reference.com/teams/WHS/1892.shtml","http://dbpedia.org/resource/J._Earl_Wagner","http://dbpedia.org/resource/Washington,_D.C."
"678382370","http://dbpedia.org/resource/League_Park","National League","","15703075","1893 Cleveland Spiders season","http://www.baseball-reference.com/teams/CLV/1893.shtml","http://dbpedia.org/resource/Frank_Robison","http://dbpedia.org/resource/Cleveland"
"678382781","http://dbpedia.org/resource/Boundary_Field","National League","","15707799","1893 Washington Senators season","http://www.baseball-reference.com/teams/WHS/1893.shtml","http://dbpedia.org/resource/J._Earl_Wagner","http://dbpedia.org/resource/Washington,_D.C."
"678319411","http://dbpedia.org/resource/League_Park","National League","","15703094","1894 Cleveland Spiders season","http://www.baseball-reference.com/teams/CLV/1894.shtml","http://dbpedia.org/resource/Frank_Robison","http://dbpedia.org/resource/Cleveland"
"678319663","http://dbpedia.org/resource/Boundary_Field","National League","","15707867","1894 Washington Senators season","http://www.baseball-reference.com/teams/WHS/1894.shtml","http://dbpedia.org/resource/J._Earl_Wagner","http://dbpedia.org/resource/Washington,_D.C."
"678278333","http://dbpedia.org/resource/League_Park","National League","","15703178","1895 Cleveland Spiders season","http://www.baseball-reference.com/teams/CLV/1895.shtml","","http://dbpedia.org/resource/Cleveland"
"678278511","http://dbpedia.org/resource/Boundary_Field","National League","","15707936","1895 Washington Senators season","http://www.baseball-reference.com/teams/WHS/1895.shtml","","http://dbpedia.org/resource/Washington,_D.C."
"678178468","http://dbpedia.org/resource/League_Park","National League","","15703195","1896 Cleveland Spiders season","http://www.baseball-reference.com/teams/CLE/1896.shtml","http://dbpedia.org/resource/Frank_Robison","http://dbpedia.org/resource/Cleveland"
"678178854","http://dbpedia.org/resource/Boundary_Field","National League","","15708061","1896 Washington Senators season","http://www.baseball-reference.com/teams/WHS/1896.shtml","http://dbpedia.org/resource/J._Earl_Wagner","http://dbpedia.org/resource/Washington,_D.C."
"678037360","http://dbpedia.org/resource/League_Park","National League","","15703217","1897 Cleveland Spiders season","http://www.baseball-reference.com/teams/CLV/1897.shtml","","http://dbpedia.org/resource/Cleveland"
"678037940","http://dbpedia.org/resource/Boundary_Field","National League","","15708141","1897 Washington Senators season","http://www.baseball-reference.com/teams/WHS/1897.shtml","http://dbpedia.org/resource/J._Earl_Wagner","http://dbpedia.org/resource/Washington,_D.C."
"678019028","http://dbpedia.org/resource/League_Park","National League","","15703247","1898 Cleveland Spiders season","http://www.baseball-reference.com/teams/CLV/1898.shtml","http://dbpedia.org/resource/Frank_Robison","http://dbpedia.org/resource/Cleveland"
"678019377","http://dbpedia.org/resource/Boundary_Field","National League","","15708238","1898 Washington Senators season","http://www.baseball-reference.com/teams/WHS/1898.shtml","","http://dbpedia.org/resource/Washington,_D.C."
"677812627","http://dbpedia.org/resource/Boundary_Field","National League","","15708289","1899 Washington Senators season","http://www.baseball-reference.com/teams/WHS/1899.shtml","http://dbpedia.org/resource/J._Earl_Wagner","http://dbpedia.org/resource/Washington,_D.C."
"680303510","","","","15693218","2005 Nippon Professional Baseball season","","",""
"679003458","http://dbpedia.org/resource/Eclipse_Park","American Association American Association","","15524650","1882 Louisville Eclipse season","http://www.baseball-reference.com/teams/LOU/1882.shtml","http://dbpedia.org/resource/Zach_Phelps","http://dbpedia.org/resource/Louisville,_Kentucky"
"679012367","http://dbpedia.org/resource/Eclipse_Park","American Association American Association","","15525230","1883 Louisville Eclipse season","http://www.baseball-reference.com/teams/LOU/1883.shtml","http://dbpedia.org/resource/Zach_Phelps","http://dbpedia.org/resource/Louisville,_Kentucky"
