"label","Wikipage page ID","Wikipage revision ID"
"Kentucky Route 153","47139999","670006150"
"Kentucky Route 2168","47699957","679609985"
"Sekundærrute 201","",""
"MP-203","47868607","681856700"
"Malaysia Federal Route 284","47570543","679141711"
"Droga krajowa 19","47086246","668999076"
"New Zealand State Highway 14","47576351","677192329"
"New Zealand State Highway 15","47571737","678094437"
"New Zealand State Highway 15A","47563859","677597137"
"New Zealand State Highway 31","47607353","677729407"
"New Zealand State Highway 33","47607530","677561670"
"New Zealand State Highway 36","47608257","680781483"
"New Zealand State Highway 39","47360880","680781492"
"New Zealand State Highway 46","47677016","678719839"
"Norwegian County Road 3","47972572","683408307"
"Norwegian County Road 401","47972619","683407359"
"Norwegian County Road 420","47972775","683573837"
"Norwegian County Road 456","47863851","681822468"
"Parham Road","47617420","678695778"
"Provincial Highway 10 (Taiwan)","47763207","680327948"
