"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"671718114","http://refdb.wishartlab.com/","RefDB (chemistry)","34138058"
"678236298","http://www.mousephenotype.org","International Mouse Phenotyping Consortium","38950795"
"","","FishBase",""
"","","Brix (database)",""
"676748482","http://hymenopteragenome.org/","Hymenoptera genome database","31622034"
"","","ThYme (database)",""
"","","ArachnoServer",""
"619646914","http://www.orthodb.org","OrthoDB","31367370"
"678221503","http://PlasmoDB.org","PlasmoDB","30339099"
"679395936","ftp://ftp.isrec.isb-sib.ch/pub/databases/trome","UniProt","1664428"
"","","Indian Genetic Disease Database",""
"677682532","http://mnm.engr.uconn.edu/","Minimotif Miner","27947144"
"637935107","http://compbio.uthsc.edu/miRSNP/","PolymiRTS","30483254"
"","","Yeastract",""
"","","UCbase",""
"","","PubChem",""
"678229545","http://www.biomart.org/","Ensembl Genomes","34463090"
"","","LocDB",""
"","","Transient receptor potential channel-interacting protein database",""
"637937586","http://utrdb.ba.itb.cnr.it/","UTRdb","30498118"
