"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"674472549","46452191","http://www.hkip.org.uk","香港獨立黨"
"682698010","47358707","http://www.identityireland.org","Identity Ireland"
"","46671284","","Independents for Frome"
"677233159","47383203","http://irishdemocraticparty.ie","Irish Democratic Party"
"679691965","47015956","http://www.binumutadaylari.info/index.php","Labour, Democracy and Freedom Bloc"
"681864128","46530325","","London Conservatives"
"679687830","47715313","https://london.greenparty.org.uk/","London Green Party"
"682982352","47715302","http://www.londonlibdems.org.uk/","London Liberal Democrats"
"678705974","46907154","https://www.mzece.ro/","M10 (political party)"
"682429830","46683394","http://www.marche2020.it/","Marche 2020"
"668899066","46684733","","Marea Atlántica"
"682917313","47936125","https://www.psm-menorca.cat/","Menorca Socialist Party - Nationalist Agreement"
"683945051","46437897","http://www.365ris.hr","Milan Bandić 365 - The Party of Labour and Solidarity"
"682515710","46233909","http://www.mkt.org.tw/","民國黨"
"672835840","46686540","","Málaga Ahora"
"681203476","47766738","http://www.fcnnacion.com/","National Convergence Front"
"654063951","45653861","","National Party of Australia - Victoria"
"683891120","47835160","","National Trust Party (Malaysia)"
"664678105","46462050","","Papua New Guinea Greens"
"677610981","46627327","","Congreso Democrático de los Pueblos"
