"Wikipage page ID","label","Link from a Wikipage to an external page","Criteria","imagecaption","id","Wikipage revision ID"
"47512582","Historic Cities of the Straits of Malacca","http://www.heritage.gov.my/index.php/en/unesco-world-heritage/world-recognition-list/",", ,","Melaka, above, George Town, below","1223","676001189"
"47180283","百済考古遺跡","http://whc.unesco.org/en/list/1477","","","","670427133"
"47180677","Encostas, caves e lojas de Champagne","http://whc.unesco.org/en/list/1465","iii, iv, vi","","1465","683363169"
"47180844","Climats de Borgonha","http://whc.unesco.org/en/list/1425","iii, v","","1425","675346735"
"47155669","Insediamenti Tusi","","","","","670345451"
"47953643","Arab-Norman Palermo and the Cathedral Churches of Cefalù and Monreale","http://whc.unesco.org/en/list/1487","ii, iv","","1487","683262427"
"","","","","","1318",""
"","","","","","1211",""
"","Ajanta Caves","","","","",""
"","Ambohimanga","","","","",""
"","Angkor","","","","",""
"","Apo-Riff","","","","",""
"","Bonin Islands","","","","",""
"","Bulguksa","","","","",""
"","Dujiangyan irrigation system","","","","",""
"","Ellora Caves","","","","",""
"","Fatehpur Sikri","","","","",""
"","Great Barrier Reef","","","","",""
"","Haeinsa","","","","",""
"","هاهوي (أندونغ)","","","","",""
