"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.ancientrivertheband.com","47299182","Ancient River","680628247"
"","","Andy The Kid",""
"","46544259","Angelo & Veronica",""
"","46316100","Annisokay",""
"","47646708","Antonius Rex","681565263"
"","","Apanhador Só",""
"","","Ark of the Covenant (band)",""
"","46637100","As They Sleep",""
"","47045181","Ascend the Hill",""
"","","Atlantis Quartet",""
"http://auntydonna.com","47918542","Aunty Donna","683877293"
"","","Australian Welsh Male Choir",""
"","","Awon",""
"","47935877","Baby Chaos",""
"","46569480","Badself",""
"","46669077","Banda Carnaval",""
"","46670995","Banda Kawayan Pilipinas",""
"","","Banditos (band)",""
"","47924488","Beach Slang","682657388"
"","","Beyond Unbroken",""
