"Wikipage revision ID","colorcode","colours","Wikipage page ID","Link from a Wikipage to an external page","label"
"680719701","red","Red","47796848","http://ainar-fund.com","Ainar"
"678568520","","","47327773","http://alde.ro/","Alliance des libéraux et démocrates (Roumanie)"
"664615626","","","46299199","http://www.uras.es/","Unión Renovadora Asturiana"
"","","","","","Bangladesh Islami Chattra Sena"
"683515157","","","47024479","http://bgns.net","Bulgarian National Alliance"
"683991303","","","47934959","","Canada Party (2015)"
"","","","46380993","","Alternativa Nacionalista Canaria"
"676872946","","","46792892","http://www.kristnavardepartiet.se","Christian Values Party (Sweden)"
"674613197","","","46401613","","Civic Renovation Party"
"683793476","","","47745716","http://creo.org.gt/","Commitment, Renewal and Order"
"666546987","","","46683667","http://www.compromisu.com","Compromisu por Asturies"
"669915250","","","46617806","http://www.conceyuabiertu.org","Conceyu Abiertu"
"680366631","","","46294964","http://eu-austrittspartei.at","EU-Austrittspartei"
"","","","47015125","","Ferrol en Común"
"","","","","","Freedom and Direct Democracy"
"683792663","","","47766907","http://www.fuerza.org.gt/","Fuerza (political party)"
"674298617","","","46520690","http://www.converxencia-galega.org/","Converxencia Galega"
"","","","","","Gorripidea"
"672565422","#77bae4","","47306055","http://www.guldborgsundlisten.dk/","Guldborgsundlisten"
"674328960","","","46404939","http://www.hizb-australia.org","Hizb ut-Tahrir (Australia)"
