"Geburtsdatum","Wikipage page ID","label"
"1985-02-13","47882904","Jon Applebaum"
"1972-07-04","","Jon Koznick"
"","","Jordan Brandman"
"1983-12-16","","Josh Zakim"
"1965-09-19","","Joyce Sylvester"
"1963-05-16","","Justin K. Price"
"1967-05-28","","Kajsa Ollongren"
"1942-03-15","","Kathy Crawford"
"1952-01-10","","Keizō Hamada"
"1966-02-23","","Kelly Fenton"
"","45625479","Khaled Negm"
"1937-05-26","","King Virgil Cheek"
"1972-12-21","","Kirsten Oswald"
"1979-02-26","","Kofo Adegoke"
"","","Krishna Khopde"
"","","Kristina Háfoss"
"1961-11-01","","Kulwant Singh (politician)"
"1953-09-19","","Lee Denney"
"","","Leighton Schubert"
"1964-09-22","","Lennie Clark"
