"label","Wikipage page ID","Wikipage revision ID"
"Buckskin Glacier","38992702","548369782"
"Bull Lake Glacier","",""
"Butterfly Glacier","38964661","643005224"
"Cameron Glaciers","",""
"Cantwell Glacier","38992546","610737158"
"Carbon Glacier","",""
"Carrie Glacier","",""
"Carter Glaciers","",""
"Carver Glacier","36443455","643882021"
"Castle Rock Glacier","",""
"Challenger Glacier (Washington)","38973902","631854518"
"Chaney Glacier","",""
"Chenega Glacier","",""
"Chickamin Glacier (Washington)","38772559","643012272"
"Chocolate Glacier","37678775","607361988"
"Clark Glacier (Alaska)","3369412","642721525"
"Clark Glacier (Oregon)","36423240","642993433"
"Clark Glacier (Washington)","38973555","648815684"
"نهر كولمان الجليدي","",""
"نهر سي أو إي الجليدي","33886087","642976868"
