"absmag v","Wikipage page ID","Wikipage revision ID","appmag v","label","Link from a Wikipage to an external page"
"-22.69","48010878","683946677","12.69","NGC 5256","http://spider.seds.org/"
"","47719483","679536159","14.71","NGC 526",""
"","47330055","676178085","","NGC 7759","http://simbad.u-strasbg.fr/Simbad"
"","2303206","680334345","","Carina Dwarf Spheroidal Galaxy",""
"","","","","Cartwheel Galaxy",""
"","","","","Centaurus A",""
"","","","","Galaxia Cometa",""
"","","","","Draco Dwarf",""
"","","","","Leo II (dwarf galaxy)",""
"","","","","Leo I (dwarf galaxy)",""
"","","","","Pegasus Dwarf Irregular Galaxy",""
"","","","","Pegasus Dwarf Spheroidal Galaxy",""
"","","","","Sculptor Dwarf Galaxy",""
"","","","","Sculptor Dwarf Irregular Galaxy",""
"","","","","Sculptor Galaxy",""
"","","","","Whirlpool Galaxy",""
"","25702676","343555308","","Arp 187","http://www.usenet-replayer.com/cgi/content/framebanner_3?http://www.usenet-replayer.com/5/3/2/3/1258543235.2.jpeg"
"","4484966","539769015","","NGC 4314",""
"","43500794","623044534","","NGC 462","http://www.messier45.com/cgi-bin/dsdb/dsb.pl?ss=116277112754765&str=NGC462"
"","","","","Arp 148",""
