"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"47629326","678245236","Weightlifting at the 1988 Summer Olympics – Men's 60 kg","http://www.la84foundation.org/6oic/OfficialReports/1988/1988v2pt2.pdf"
"4665116","674566242","Athletics at the 1908 Summer Olympics – Men's standing long jump","http://users.skynet.be/hermandw/olymp/ath1908.html"
"28895903","586628780","Olympische Sommerspiele 1948/Leichtathletik – 4 × 100 m (Frauen)",""
"10676139","662599517","Olympische Sommerspiele 1956/Leichtathletik – Weitsprung (Männer)","http://www.olympic-museum.de/o-reports/report1956.htm"
"3671311","561086351","Athletics at the 1964 Summer Olympics – Men's triple jump",""
"34214891","678747144","Olympische Sommerspiele 1972/Leichtathletik – 400 m (Frauen)","http://www.la84foundation.org/6oic/OfficialReports/1968/1968v3pt2.pdf"
"31826018","661740097","Atletica leggera ai Giochi della XXI Olimpiade - Marcia 20 km","http://www.sports-reference.com/olympics/summer/1976/ATH/mens-20-kilometres-walk.html"
"28244375","613217552","Atletica leggera ai Giochi della XXIII Olimpiade - 100 metri piani maschili","http://www.sports-reference.com/;"
"23681616","650187747","Ciclismo ai Giochi della VIII Olimpiade - Inseguimento a squadre",""
"18666538","637145299","Ciclismo ai Giochi della XXIX Olimpiade - Velocità maschile",""
"34666568","636662695","Ciclismo en los Juegos Olímpicos de Londres 2012 – Velocidad por equipos masculino",""
"12991144","634566697","Equitazione ai Giochi della VII Olimpiade - Volteggio a cavallo a squadre","http://olympic.w.interia.pl/"
"30795985","664083382","Fencing at the 1972 Summer Olympics – Men's foil",""
"23988729","569383346","Gymnastics at the 1992 Summer Olympics – Men's horizontal bar","http://www.la84foundation.org/5va/reports_frmst.htm"
"46733318","677068131","Olympische Winterspiele 2018/Eishockey (Herren)","http://www.iihf.com/home-of-hockey/championships/olympics.html"
"42276652","","Olympische Jugend-Sommerspiele 2014/Judo",""
"41712388","591852657","Luge at the 1994 Winter Olympics – Women's singles","http://www.sports-reference.com/olympics/winter/1994/LUG/womens-singles.html"
"3477938","683718244","Modern pentathlon at the 1920 Summer Olympics",""
"27588972","","Żeglarstwo na Letnich Igrzyskach Olimpijskich 1920 – klasa 7 metrów",""
"27845869","682831835","Sailing at the 1952 Summer Olympics – Star",""
