"Wikipage revision ID","gender","Wikipage page ID","region","label"
"671310575","Female","47229019","http://dbpedia.org/resource/Latvia","Antra (given name)"
"673350311","Feminine","47268668","","Aygül"
"675307887","Female","47480664","http://dbpedia.org/resource/Latvia","Imanta (given name)"
"675525317","Female","47492478","http://dbpedia.org/resource/Latvia","Modra (given name)"
"671311073","Female","47231486","http://dbpedia.org/resource/Latvia","Olita (given name)"
"675378247","","47193344","","Rehák"
"679662836","Female","47428911","","ريحانة (اسم)"
"677313956","Female","47527895","http://dbpedia.org/resource/Latvia","Smaida"
"675684505","Female","47502737","http://dbpedia.org/resource/Latvia","Spodra"
"679662373","Masculine","47515931","","Vishwajeet"
"671109849","","47193347","","Řehák"
"682193810","Male","47896578","http://dbpedia.org/resource/Latvia","Arnis (name)"
"681847444","Male","47873618","http://dbpedia.org/resource/India","Aryaman (given name)"
"680772118","Female","47772541","http://dbpedia.org/resource/Latvia","Biruta (given name)"
"683509201","Unisex","47883481","","Carling (given name)"
"682742436","Female","47919464","","Cosette (given name)"
"683655191","","47992220","","Forlani"
"675120047","Female","47359541","http://dbpedia.org/resource/Latvia","Gunta (given name)"
"679436558","Female","47691393","","Indrani (name)"
"669100135","","47100966","","Perugu"
