"label","Wikipage page ID","Wikipage revision ID"
"Acragas humaitae","47667914","678557195"
"Acragas humilis","47765535","680302058"
"Acragas leucaspis","47765574","680302081"
"Acragas longimanus","47765620","680252301"
"Acragas longipalpus","47765744","680302123"
"Acragas mendax","47765770","680302138"
"Acragas miniaceus","47765835","680302172"
"Acragas nigromaculatus","47765891","680302205"
"Admestina archboldi","47622552","677805444"
"Admestina tibialis","47622638","677812876"
"Admestina wheeleri","47622699","678384288"
"Admesturius bitaeniatus","47623372","677893115"
"Admesturius schajovskoyi","47623488","677820032"
"Aphonopelma chamberlini","47743003","679852926"
"Argennina","47564688","676771151"
"Charletonia austisensis","47674282","678738488"
"Charletonia cuglierensis","47647435","678191061"
"Dalmasula","47361598","678773524"
"Dermacentor circumguttatus","47669819","678596992"
"Erythraeus berninensis","47972877","683403215"
