"label","Sterbedatum","Geburtsdatum"
"Fred Beeson","1956-08-03","1901-10-22"
"Gerald McKenzie","1977-09-23","1904-01-13"
"Harold Boyd (footballer born 1913)","1971-04-25","1913-02-02"
"Harold Hartney (footballer)","1963-10-18","1909-09-05"
"Harry Challis","1989-11-25","1906-04-19"
"Harry Verdon","1996-06-04","1909-10-07"
"Hugh Goddard","","1996-04-19"
"Ivan Sharp","1989-03-24","1909-08-03"
"Jack Buckley (Australian footballer)","1980-04-26","1907-06-25"
"Jack Lean","1965-12-23","1899-09-15"
"Jack O'Rourke (footballer, born 1899)","1969-05-13","1899-01-15"
"Jack Scales","1973-03-13","1897-09-02"
"Jake Kolodjashnij","","1995-08-09"
"James Harmes","","1995-10-05"
"Jonathon Marsh","","1995-10-17"
"Keith Fleming","1985-07-10","1909-11-16"
"Laurie Plunkett","1999-03-25","1910-03-29"
"Len Hooke","1950-07-10","1909-05-08"
"Len May","1959-07-31","1899-04-18"
"Les Prior","1972-09-08","1908-03-30"
