"birth place","label","Geburtsort"
"http://dbpedia.org/resource/France","Romain Pillon","http://dbpedia.org/resource/France"
"http://dbpedia.org/resource/Portugal","Ruben Guerreiro","http://dbpedia.org/resource/Portugal"
"http://dbpedia.org/resource/France","Rudy Barbier","http://dbpedia.org/resource/France"
"http://dbpedia.org/resource/Wachau,_Saxony","Sebastian Forke","http://dbpedia.org/resource/Wachau,_Saxony"
"","Stefano Nardelli",""
"http://dbpedia.org/resource/Ninove","Steve De Wolf","http://dbpedia.org/resource/Ninove"
"http://dbpedia.org/resource/Vichy","Séverine Desbouys","http://dbpedia.org/resource/Vichy"
"","Thi That Nguyen","http://dbpedia.org/resource/Vietnam"
"http://dbpedia.org/resource/Germany","Thorsten Wilhelms","http://dbpedia.org/resource/Germany"
"http://dbpedia.org/resource/Guernsey","Tobyn Horton","http://dbpedia.org/resource/Guernsey"
"http://dbpedia.org/resource/Argyle_County","Tom Larcombe (cyclist)","http://dbpedia.org/resource/Argyle_County"
"http://dbpedia.org/resource/England","Thomas Moses","http://dbpedia.org/resource/England"
"http://dbpedia.org/resource/Norway","Truls Engen Korsæth","http://dbpedia.org/resource/Norway"
"http://dbpedia.org/resource/Mongolia","Tuulchangain Tögöldör","http://dbpedia.org/resource/Mongolia"
"http://dbpedia.org/resource/Norway","Wenche Stensvold","http://dbpedia.org/resource/Norway"
"http://dbpedia.org/resource/Vannes","Yann Guyot","http://dbpedia.org/resource/Vannes"
"http://dbpedia.org/resource/Chiriquí_Province","Yelko Gómez","http://dbpedia.org/resource/Chiriquí_Province"
"http://dbpedia.org/resource/France","Yoann Paillot","http://dbpedia.org/resource/France"
"khorfakkan","Yousef Mirza Bani Hammad",""
"http://dbpedia.org/resource/Algeria","Abdelbasset Hannachi","http://dbpedia.org/resource/Algeria"
