"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"https://www.visitkingsisland.com/banshee","Banshee (Kings Island)","681387034","38649666"
"","Bat (Lagoon)","",""
"","Batman: The Dark Knight (roller coaster)","668650971","5250471"
"","Batman: The Ride","",""
"","Beastie (roller coaster)","",""
"","Boomerang (Six Flags México)","",""
"","Boomerang (Worlds of Fun)","",""
"","Cedar Creek Mine Ride","",""
"","Cliffhanger (roller coaster)","",""
"","Comet (Hersheypark)","",""
"","Comet (Lincoln Park)","",""
"","The Comet (Waldameer)","",""
"","Enigma (roller coaster)","",""
"http://projekthelix.se/en/","Helix (Liseberg)","681023496","41539174"
"","Lightning (Entertainment City)","",""
"","Lightning (Revere Beach)","",""
"http://seaworldparks.com/en/seaworld-orlando/attractions/rides/mako/?from=Home_promo","Mako (roller coaster)","674235453","46814498"
"","Mind Bender (Six Flags Over Georgia)","",""
"http://www.adlabsimagica.com/nitro/","Nitro (Adlabs Imagica)","661700977","39063935"
"","Nitro (Six Flags Great Adventure)","680950146","654674"
