"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"47299182","680628247","Ancient River","http://www.ancientrivertheband.com"
"","","Andy The Kid",""
"46544259","","Angelo & Veronica",""
"46316100","","Annisokay",""
"47646708","681565263","Antonius Rex",""
"","","Apanhador Só",""
"","","Ark of the Covenant (band)",""
"46637100","","As They Sleep",""
"47045181","","Ascend the Hill",""
"","","Atlantis Quartet",""
"","","Australian Welsh Male Choir",""
"","","Awon",""
"47935877","","Baby Chaos",""
"46569480","","Badself",""
"46669077","","Banda Carnaval",""
"46670995","","Banda Kawayan Pilipinas",""
"","","Banditos (band)",""
"47924488","682657388","Beach Slang",""
"","","Beyond Unbroken",""
"","","Bezbeli Apstraklije",""
