"Link from a Wikipage to an external page","label","Wikipage page ID","supported","Wikipage revision ID"
"http://www.samsung.com/global/microsite/galaxytabs2/","Samsung Galaxy Tab S2","47289201","Yes","683518727"
"http://delta.gov.ge/","Satevari MSWP","47197243","","675128752"
"http://www.sonymobile.com/global-en/products/phones/xperia-c4/#tabs","Sony Xperia C4","47641128","","681876425"
"http://www.sonymobile.com/global-en/products/phones/xperia-c5-ultra/#tabs","Sony Xperia C5 Ultra","47612432","","683181087"
"http://www.sonymobile.com/global-en/products/phones/xperia-m4-aqua/#tabs","Sony Xperia M4 Aqua","47621018","","681465799"
"http://www.sonymobile.com/global-en/products/phones/xperia-m5/#white","Sony Xperia M5","47602554","","683580272"
"http://www.sonymobile.com/global-en/products/tablets/xperia-z4-tablet/","Sony Xperia Z4 Tablet","45551660","","677724746"
"http://www.yuplaygo.com/yureka","YU Yureka","47266868","","682256166"
"","","","",""
"","","","",""
"","","","",""
"","Anilite bomb","47419712","","676431470"
"http://www.intex.in","Aqua Fish","47290212","","679163165"
"","","","",""
"","CS/LS5","47929600","","682757216"
"","","","",""
"","","","",""
"","","","",""
"http://defence-blog.com/?p=3522","Engima APC","47430344","","682983527"
"","ФАБ-5000НГ","47283720","","679325494"
