"label","Wikipage page ID","Wikipage revision ID"
"Ileocolic artery","4485280","657009287"
"Inferior alveolar artery","4485404","665472056"
"شريان كظري سفلي","",""
"Left colic artery","",""
"Middle colic artery","",""
"Right colic artery","",""
"شريان شرسوفي سطحي","",""
"Superficial external pudendal artery","",""
"Superior suprarenal artery","",""
"شريان زاوي","5296789","666117988"
"Arcuate vessels of uterus","",""
"Intestinal arteries","",""
"Middle genicular artery","",""
"Left gastric artery","2841719","641503877"
"Splenic artery","2338832","650832669"
"Vaginal artery","4385176","665401613"
"Medial tarsal arteries","",""
"Descending genicular artery","",""
"Posterior interventricular artery","",""
"Ramas esternocleidomastoideas de la arteria occipital","",""
