"label","Geburtsdatum"
"Rosalie Boyd","1987-10-21"
"Saida Rejeb","1994-03-21"
"Adriana Țăcălie",""
"Cléopâtre Darleux",""
"Cornejo Rodolfo","1983-09-07"
"Erik Schmidt (Handballspieler)",""
"Espen Lie Hansen",""
"Estelle Nze Minko","1991-08-11"
"Iwan Brouka",""
"Kanna Masuda","1989-10-08"
"Marcelina Kiala",""
"Paule Baudouin",""
"Mahmoud Ramadan","1984-03-07"
"Pawel Nikolajewitsch Atman",""
"Elisa Webba",""
"Gorazd Škof",""
"Саздовски, Ивана","1990-04-12"
"鄭由路","1992"
"Mohammad Reza Rajabi","1986-01-10"
"Rasmus Wremer",""
