"Wikipage revision ID","developed from","label","introduced","designer","Wikipage page ID","manufacturer"
"668946564","2015","High Speed Target Drone","2015","http://dbpedia.org/resource/EdePro","47077705","http://dbpedia.org/resource/EdePro"
"673716855","","Infinity Purple","","","47375786",""
"673795969","","Kolb Flyer Powered Parachute","","","47383493",""
"678828067","","Les Mureaux 3","","","47572833",""
"681030898","","Mikoyan-Gurevich I-350","","","47802477",""
"678572131","","Miles & Atwood Special","","Lawrence W Brown","47665551",""
"680801909","","Oeffag G","","","47783093",""
"677746743","","Para-Ski Top Gun","","","47393804",""
"668947013","2015","Rapier Unmanned Helicopter","2015","http://dbpedia.org/resource/EdePro","47077812","http://dbpedia.org/resource/EdePro"
"683214195","","SECAT VI La Mouette","","","47917474",""
"683980959","","SFCA Maillet 20","","Jean Lignel","47954633",""
"678536926","","SNAS Stryke-Air Bi","","","47666372",""
"678327619","","SNCAO 700","","","47590800",""
"680894908","","SNCASO Deltaviex","","Aliette at ONERA","47699619",""
"676718078","","Skymaster Single Seater","","","47562571",""
"673353455","http://dbpedia.org/resource/Sonex_Aircraft_Sonex","Sonex Aircraft Teros","","http://dbpedia.org/resource/Sonex_Aircraft","47349068",""
"680290832","","Sundog One-Seater","","","47770552",""
"680297358","","Sundog Two-Seater","","","47770250",""
"681190423","","Technic'air Fly Roller","","","47826265",""
"682244572","","Trio-Twister 103","","","47850625",""
