"label","death place","birth place"
"George William Symes","http://dbpedia.org/resource/Adelaide","http://dbpedia.org/resource/Dorset"
"Georgij Bulatsel","http://dbpedia.org/resource/Finland","http://dbpedia.org/resource/Russian_Empire"
"Gerald Goodfellow","",""
"Gilbert William Walenn","Prusce near Danzig",""
"Giles Hill","",""
"Gilmour Anderson","Glasgow, Scotland","Hillhead, Glasgow, Scotland"
"Gustav Bachmann","",""
"H. R. Amaraweera","",""
"Harrison Stiles Fairchild","http://dbpedia.org/resource/Rochester,_New_York","http://dbpedia.org/resource/Cazenovia,_New_York"
"Hein du Toit","",""
"Henry Williams Hise","http://dbpedia.org/resource/Lubbock,_Texas","http://dbpedia.org/resource/Shamrock,_Texas"
"هرتسي هليفي","",""
"Hubert Essame","West Wittering, West Sussec",""
"Hugo Salmela","http://dbpedia.org/resource/Finland","http://dbpedia.org/resource/Parikkala"
"Ian Erskine","Sandwich, Kent","London, England"
"Беркок, Исмаил","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/Kayseri_Province"
"Ivan Lemmer","",""
"Johan Potgieter","http://dbpedia.org/resource/Dondo,_Angola",""
"John Chaston","Newport, Pembokeshire","Bedwellty, Monmouthshire"
"John Evelyn Anderson","",""
